#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6223.185244937877    All      -0.2559887553654394       -1.3680407789448346       -5.124721037915758         -0.5909246924344802        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4230.436736187953    All      -0.7109495369991896       0.35735356049002576       0.6662298136428935         0.3777122416802253         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8041.495797549548    All      1.3691544916170826        0.16649994985025174       3.0551577706838917         -0.25540649093913276       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5221.674273987419    All      0.5924429727227951        1.8388298932378255        1.4632249051203083         0.4712862320900693         
Check         All|All|All                       All                  All      0.9946591719752488        0.9946426246332685        0.05989145153133624        0.0026672903966816763      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6223.185244937877    All      -3.768144048254331e-06    5.175025083032964e-05     0.0007925750577764911      5.34531523758838e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4230.436736187953    All      -0.00067490248317664      0.000359407673248382      0.0006745764111645206      0.00036701209275392883     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8041.495797549548    All      -5.77413694983399e-06     -5.031171213107558e-05    -0.00013716467973575762    -2.0628383161250937e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5221.674273987419    All      0.0004755927984659745     0.001870566836261363      0.0014419545955894513      0.0005187367483358773      
MWEBV         All|All|All                       All                  All      -0.5297778251053629       -3.8980879496476994       0.9118037155809611         -1.0564798096116435        
Redshift      All|All|All                       All                  All      2.35903268779634          -9.127957252968066        -19.076891118442628        -4.593004568075259         
