#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.618090244421    All      1.4848536267487167         -0.592068460847095        -1.6563514524470557       -0.7504372106127226        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.958185804801    All      -0.9749724497746001        0.8269973012966503        0.644559054946849         0.6157245412374491         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7403.093873345095    All      0.499709587514393          0.22935057859818642       1.8462436962294253        -0.005675447079079903      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5265.061702721194    All      -0.011013681541796383      0.5371343203172785        -0.7884800213345762       0.14336359574470292        
Check         All|All|All                                All                  All      0.9985770829467131         1.0014137393650202        0.04597127739464235       0.0029754792903495253      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.618090244421    All      -0.0003538491255842246     0.0002551305053522607     -0.0007059783267810629    0.00016686013034771327     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.958185804801    All      -0.0008022997370226056     0.0005780544812641915     -0.000423146890004526     0.0004307436789433802      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7403.093873345095    All      -0.00019154300053575538    8.120657223894793e-05     -0.0004207789806738016    7.00660757076197e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5265.061702721194    All      -2.7649871884696526e-05    -3.981906696385922e-06    -0.003009422917162985     -0.00012658728809870307    
MWEBV         All|All|All                                All                  All      -0.8405462035977194        -3.8854459731931357       0.3128875498171216        -0.9778612948763749        
Redshift      All|All|All                                All                  All      10.694657120563885         -1.6836166151904308       25.28885591132981         -2.903485497036525         
