#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.618090244421    All      1.3540930482820577         -0.5218064897416497       -1.7403534338841231       -0.6887061753960366        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.958185804801    All      -1.0192104110001625        0.8294601932791856        1.0110972057652323        0.6472934597619495         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7403.093873345095    All      0.510061530579404          0.25327214787225216       2.2748462094901667        0.01787118827133588        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5265.061702721194    All      0.15345500837918766        0.44282053123900766       -1.4973937324121223       0.027434065641485095       
Check         All|All|All                                All                  All      0.9983991762404869         1.0037463826487958        0.04819624895915364       0.0038925382787338703      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6080.618090244421    All      -0.00043007912630869434    0.00021904797306630515    -0.0003015357724769887    0.00019798589529174335     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4252.958185804801    All      -0.0006354339294323576     0.00034814936365166305    -0.0004171352721151528    0.00030177060612516116     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7403.093873345095    All      -0.000214115598869066      1.7231878761678535e-05    -0.000740308283353496     4.232092599717121e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5265.061702721194    All      -1.7133178899669723e-05    -0.0001249572684294076    -0.0031657945181232626    -0.00017639672264254882    
MWEBV         All|All|All                                All                  All      -0.8494835908681337        -3.8783352640327173       0.371426062683744         -0.9700215969305898        
Redshift      All|All|All                                All                  All      10.46937850900733          0.08450079823676404       22.76319673679661         -2.3668793999444397        
