#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           5046.886666073801    All      0.6010625303073138         0.904629559063963         3.847518209043104         0.2705788349822653        
Zeropoint     AB|MEGACAMPSF|i           6173.655249530526    All      1.307458903680879          -0.23889813366171353      -1.799409997918281        -0.5839987645138102       
Zeropoint     AB|MEGACAMPSF|z           7116.391889289264    All      0.1409809242707719         -0.018380691986230602     -0.22539773427140597      -0.06196778692253588      
Zeropoint     AB|MEGACAMPSF|g           3951.682444247214    All      -1.053630116891918         0.3508857762401618        -1.8126506468866594       0.3766067604262565        
Check         All|All|All               All                  All      0.995872241367047          0.9982365096561807        0.010059829966758027      0.0012190439721757595     
Lambda        AB|MEGACAMPSF|r           5046.886666073801    All      -7.731534395952663e-05     -9.893219739194276e-05    -0.0010195384317953971    -5.253863797667281e-05    
Lambda        AB|MEGACAMPSF|i           6173.655249530526    All      -0.00040366769018487813    6.639524582905921e-05     0.0003621914573513515     0.0001692779041273852     
Lambda        AB|MEGACAMPSF|z           7116.391889289264    All      -3.5847037795580993e-05    4.532059900404552e-06     5.457272088801276e-05     1.5588130442229088e-05    
Lambda        AB|MEGACAMPSF|g           3951.682444247214    All      -0.0010871870035666067     0.0002630737600432272     -0.002652185243571434     0.00032146950659301223    
MWEBV         All|All|All               All                  All      -0.5122914920387327        -3.0847490451108683       0.10907344993875316       -0.8330666092607578       
Redshift      All|All|All               All                  All      6.052421430174265          0.10983662295025454       2.6603287756639724        -1.8169771221361715       
