#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           5046.886666073801    All      0.6255415784979079         0.8926435453261661         3.5397070796407357        0.2449647676674394        
Zeropoint     AB|MEGACAMPSF|i           6173.655249530526    All      1.3226557333671627         -0.26755996645162483       -1.833297339101403        -0.5997972101875179       
Zeropoint     AB|MEGACAMPSF|z           7116.391889289264    All      0.08151394054565757        0.0070688494156812         -0.11354062927273478      -0.029316012162977537     
Zeropoint     AB|MEGACAMPSF|g           3951.682444247214    All      -1.057617810387859         0.3540005858172268         -1.6871210086009447       0.3845220905624614        
Check         All|All|All               All                  All      0.9720934420228691         0.9861530141074493         -0.09425189733434669      0.00037363587940542065    
Lambda        AB|MEGACAMPSF|r           5046.886666073801    All      -0.00013802117802526158    -0.0001357914880976101     -0.0015871658480874982    -7.010163884701492e-05    
Lambda        AB|MEGACAMPSF|i           6173.655249530526    All      -0.0003290280365881499     6.987723405850921e-05      0.0003397295581211445     0.00014509714010073484    
Lambda        AB|MEGACAMPSF|z           7116.391889289264    All      -1.9917195191093976e-05    -1.4784266567573953e-06    -6.864308892292556e-06    5.6997909498672645e-06    
Lambda        AB|MEGACAMPSF|g           3951.682444247214    All      -0.001147467320257506      0.0002843747548272182      -0.0026224801240967597    0.000349368826737286      
MWEBV         All|All|All               All                  All      -0.5326660368227891        -3.0915791471596066        -0.0613553529189792       -0.8362601933832956       
Redshift      All|All|All               All                  All      6.040037186247246          0.05371899306290118        1.9600162260895893        -1.8624742573974173       
