#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4644.9076753246445    All      -2.499207512762519        1.2292930093902754         -0.637452107940395        1.1860487242231141        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5562.2815338716955    All      3.4856404506337664        -0.22266592048918454       0.7060664363230718        -1.1764088825233519       
Check         All|All|All                            All                   All      0.9864329378712473        1.0066270889010909         0.06861432838267678       0.009639841699762286      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4644.9076753246445    All      -0.0006549420607299297    -0.00015076297324202197    -0.0029718845920081297    3.160615582501432e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5562.2815338716955    All      7.079381026594463e-05     -4.085891231081196e-05     -0.0006681441776898403    -6.618517098379959e-05    
MWEBV         All|All|All                            All                   All      -0.23794085639603013      -2.5664927743703103        -0.01647988661614974      -0.7592213884171639       
Redshift      All|All|All                            All                   All      0.41295284069915583       1.9137839278196012         5.503612025734306         0.7344709884840539        
