#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4644.9076753246445    All      -2.447497863524648       1.2275291513681452         -0.6556007905714204       1.1678207513304588        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5562.2815338716955    All      3.44582045787185         -0.22507326175027487       0.6581814153395597        -1.1663592396484057       
Check         All|All|All                            All                   All      0.9983225943472024       1.0024558896178704         0.0025806247681392502     0.0014615116820531071     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4644.9076753246445    All      -0.000550707828854165    -0.00011935300231086297    -0.0027022220620031697    1.9918698387253313e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5562.2815338716955    All      2.269961409044792e-05    -4.8334984989404434e-05    -0.0009858523247973433    -6.713236728895388e-05    
MWEBV         All|All|All                            All                   All      -0.23743391292460414     -2.566149932892614         -0.011933971505396495     -0.7590719785225568       
Redshift      All|All|All                            All                   All      1.3589130219814378       1.6744083950921862         5.8481257708210155        0.36374221619323366       
