#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7392.528699109729    All      0.5162797919415878         -0.11791569543264657       0.08892470026501036       -0.20261003369313615       
Zeropoint     AB|PS|PS_r                6103.391285515645    All      1.1578935474461953         -0.03694166320240555       -0.12693137529265153      -0.3948615013236789        
Zeropoint     AB|PS|PS_z                8495.81930273552     All      0.4300950482746753         -0.10910878607930385       0.1226041688063348        -0.17016516717508512       
Zeropoint     AB|PS|PS_g                4806.076811374927    All      -1.1049051417161715        1.2629861526888497         -0.08283463382678317      0.7676035666354241         
Check         All|All|All               All                  All      0.9993632459462871         0.9990200079744938         0.0017628599519104587     -3.313555647610489e-05     
Lambda        AB|PS|PS_i                7392.528699109729    All      -4.7624672834650655e-05    -5.062532048720773e-05     -0.0005407889693626444    -2.511033760756983e-05     
Lambda        AB|PS|PS_r                6103.391285515645    All      -0.00012943327494217954    -2.8192930344178802e-05    -0.0004697505692826963    1.2014500523215424e-05     
Lambda        AB|PS|PS_z                8495.81930273552     All      0.000578873803681864       -0.00015727206196766125    5.122307247418235e-05     -0.00023750107645620922    
Lambda        AB|PS|PS_g                4806.076811374927    All      -0.0005105807574835773     0.00020127816525647156     -0.0013360330924997877    0.00017225484985914592     
MWEBV         All|All|All               All                  All      -0.6761480471831356        -4.086278317362257         0.037607020372169994      -1.1091133903544412        
Redshift      All|All|All               All                  All      4.779118242336301          1.3735008921177183         5.887403138509898         -0.8465938502419307        
