#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7392.528699109729    All      0.5260563078048368        -0.1129778727839259        0.17393626204238455        -0.20039247970324303       
Zeropoint     AB|PS|PS_r                6103.391285515645    All      1.2130200590018665        -0.039252191194805164      -0.025137310793499346      -0.40902803315159          
Zeropoint     AB|PS|PS_z                8495.81930273552     All      0.37616120957182697       -0.11092333046924807       0.059839236364256365       -0.15598910900950225       
Zeropoint     AB|PS|PS_g                4806.076811374927    All      -1.115992324715654        1.2622540158899298         -0.20646968677493494       0.7654592812760319         
Check         All|All|All               All                  All      0.9992452516628763        0.9991006214419507         0.002168500838206633       4.965941169665644e-05      
Lambda        AB|PS|PS_i                7392.528699109729    All      2.1897080276577592e-07    -4.573370979358822e-05     -0.000361030498660588      -3.1079432870636666e-05    
Lambda        AB|PS|PS_r                6103.391285515645    All      6.806932872788241e-05     1.1721281276548116e-05     -0.00011508976386158509    -2.3490340423573764e-05    
Lambda        AB|PS|PS_z                8495.81930273552     All      0.000486480887156383      -0.00015871270566815743    -4.646248001796217e-05     -0.0002122341865104239     
Lambda        AB|PS|PS_g                4806.076811374927    All      -0.0006012440389225466    0.00039807791236025705     -0.0011174695982611555     0.00027564450043030144     
MWEBV         All|All|All               All                  All      -0.6836407908782429       -4.090319876890014         0.014525336388815369       -1.1090192556763856        
Redshift      All|All|All               All                  All      4.9073203872417           0.6047721020152608         6.1524491669933346         -1.1269259769864342        
