#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8257.553169442115     All      0.1424425550098793         0.004126015544336781       0.20411758703233196        -0.035945416951828346      
Zeropoint     AB|SDSS|SDSS_i                           6945.443340825122     All      0.7504004644683782         0.021591884113725257       0.8071627637534662         -0.20137696472978112       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7056.265636554109     All      -0.40053948972898923       -0.08683091944234889       -1.1644297112334654        0.050222052067640244       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4985.666114030168     All      -0.03475904913118894       0.020084901125549948       -0.18568919851124077       0.009578022821074561       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4081.324360330795     All      -0.2873154101646612        0.18111348239653324        -0.18052230912903242       0.14452681961254626        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4458.464532646644     All      0.20048209254180388        0.028114283763969183       0.8479425858856429         -0.01830608290276925       
Zeropoint     AB|SDSS|SDSS_g                           4383.07986488126      All      -0.40185636606404884       0.3250399996904463         -0.4244188958636874        0.21783419446943647        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5771.2735588498645    All      0.6015030011482907         0.1571820394859813         0.670294307602734          -0.11481779854095597       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3335.356768422692     All      -0.06483480961587439       0.048211912655027334       0.09836512345838197        0.04121262025560263        
Zeropoint     AB|SDSS|SDSS_r                           5727.375090812031     All      0.6375846215758472         0.2017488107625809         -0.5222862496306393        -0.16527329870119345       
Zeropoint     AB|SDSS|SDSS_u                           3333.2732822770186    All      -0.13031002959866766       0.08261938096154609        -0.0020983779199630626     0.06926447321992796        
Check         All|All|All                              All                   All      1.0127975804407687         0.9830017910573474         0.14843762544452863        -0.003081379380300009      
Lambda        AB|SDSS|SDSS_z                           8257.553169442115     All      -6.8620212391003465e-06    -3.874045829969744e-06     -2.818897262668171e-05     -2.846624888354369e-07     
Lambda        AB|SDSS|SDSS_i                           6945.443340825122     All      -0.0005778209088861622     -4.4118480314644517e-05    -0.0010746888992079144     0.00012588600957004348     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7056.265636554109     All      0.0001899058854998704      3.9811249494497065e-05     0.0005344432053830913      -2.5041015266413635e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4985.666114030168     All      -2.4746413174740725e-05    5.066885533524785e-06      -0.00013724306053706264    3.5866447604846674e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4081.324360330795     All      -0.0002986496233884136     0.00011247991063414553     -0.00048664756420936265    0.00011220156929181644     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4458.464532646644     All      0.00017678940060579325     2.399224368766124e-05      0.0007535649742861588      -1.6142917081735587e-05    
Lambda        AB|SDSS|SDSS_g                           4383.07986488126      All      -0.0003055077146382308     5.9138344000879284e-05     -0.00088361861428533       7.93453773557068e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5771.2735588498645    All      -0.000115642365073682      -1.89997892577793e-05      -0.00024689254791767637    2.046198591243682e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3335.356768422692     All      -0.00018838933045442428    0.00013162295000328903     0.00025064549360359314     0.00011542368504280312     
Lambda        AB|SDSS|SDSS_r                           5727.375090812031     All      -0.00020737358350514213    -6.8550889460597e-05       -0.0004749060913122076     2.4026240890805435e-05     
Lambda        AB|SDSS|SDSS_u                           3333.2732822770186    All      -0.0001230221021163602     7.454502341885236e-05      8.323403396780448e-06      6.472554781777574e-05      
MWEBV         All|All|All                              All                   All      -0.9309399263506446        -3.6096851274095343        0.13342703613265366        -0.86660120426994          
Redshift      All|All|All                              All                   All      7.51669838124097           0.09850971940270625        7.135279936459707          -2.0979333259098647        
