#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z                           8257.553169442115     All      0.10488513479351388        -0.008153338256633447      0.04501652984089889        -0.034811468554379214     
Zeropoint     AB|SDSS|SDSS_i                           6945.443340825122     All      0.3881545196412548         -0.02792764979613338       0.05545360272134739        -0.13305701168226827      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7056.265636554109     All      0.2807545038778399         -0.005746282825214166      0.23550445301824635        -0.08281324971972452      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4985.666114030168     All      0.1443458949838401         0.25162658671078475        0.4478099002696706         0.05492854985794448       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4081.324360330795     All      -0.23647349059233808       0.15371502146752647        -0.04797975759861208       0.12495611898008296       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4458.464532646644     All      -0.18483480456824414       0.1441307544423509         -0.16304483452356455       0.0998789630882302        
Zeropoint     AB|SDSS|SDSS_g                           4383.07986488126      All      -0.29574322000529996       0.24298192870677582        -0.22649652315297836       0.16537300489906115       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5771.2735588498645    All      0.4572635356309654         0.06587900567325278        0.04990501225760975        -0.12525978608417593      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3335.356768422692     All      -0.07076019924041872       0.04026159245427152        0.07295069865911491        0.03941890469413322       
Zeropoint     AB|SDSS|SDSS_r                           5727.375090812031     All      0.5121037219216081         0.0843080565598342         -0.4819067516494037        -0.16085240727613756      
Zeropoint     AB|SDSS|SDSS_u                           3333.2732822770186    All      -0.10459056943095232       0.056149882324518785       0.01536767662290833        0.053044242167038944      
Check         All|All|All                              All                   All      0.995105027011769          0.9972255574613342         0.0025800064652375353      0.0008058603698054695     
Lambda        AB|SDSS|SDSS_z                           8257.553169442115     All      -6.015291667281307e-07     -1.2386071130505757e-06    9.463704421580495e-06      2.1480441675377295e-07    
Lambda        AB|SDSS|SDSS_i                           6945.443340825122     All      -0.0002935369129089726     3.2262189919063186e-06     -0.00040555678999621087    7.856737839459218e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7056.265636554109     All      -0.00018381780029440815    -7.721940087027866e-06     -0.0003000063285015466     4.397231048946854e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4985.666114030168     All      -4.1235662809118104e-05    -1.4751653728660143e-05    -0.0003423825982105451     -6.652249796217173e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4081.324360330795     All      -0.0001952837102000536     8.984750690425874e-05      -0.00020762481814152542    8.361127590192943e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4458.464532646644     All      -0.00010217074507323672    2.399698662405531e-05      -0.0003278588657943202     2.6466145629794838e-05    
Lambda        AB|SDSS|SDSS_g                           4383.07986488126      All      -0.00017964353487091248    3.45993813458551e-05       -0.000573239993595166      4.4204898076296366e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5771.2735588498645    All      -9.719459304010099e-05     -1.6290710971820393e-05    -0.0001437301516182563     1.9939039510286475e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3335.356768422692     All      -0.00017745616325658757    9.852571891248004e-05      0.00017347418687894574     9.763773477898475e-05     
Lambda        AB|SDSS|SDSS_r                           5727.375090812031     All      -0.00015972270418312425    -3.667826925265489e-05     -0.00025702799475076603    2.8609641579678968e-05    
Lambda        AB|SDSS|SDSS_u                           3333.2732822770186    All      -7.435287814351496e-05     3.617958957649538e-05      2.7444938796174253e-05     3.72288027150118e-05      
MWEBV         All|All|All                              All                   All      -0.8912265559552175        -3.645942963007087         0.12087312473550528        -0.8919077488479171       
Redshift      All|All|All                              All                   All      7.335745213262027          0.7640527159868071         6.7902344256732095         -1.8375994726247527       
