#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6219.561568191313     All      1.1813970551654989         0.025617048006942866       0.13500979103335808        -0.3704507054680736        
Zeropoint     AB|SDSS|SDSS_z            7394.540250307068     All      0.09743346016605747        -0.00038317184891667466    0.07422442588649325        -0.02854979989202755       
Zeropoint     AB|SDSS|SDSS_r            5128.795996656833     All      0.7652169849868262         0.41984817016658127        0.05621800843047531        -0.10998923376718886       
Zeropoint     AB|SDSS|SDSS_g            3924.9956756093934    All      -1.0464690237865715        0.5535684935104257         -0.26308209627254886       0.5094447133901167         
Check         All|All|All               All                   All      0.9975784765318111         0.9986505398350332         0.002370129077777783       0.0004549742628265907      
Lambda        AB|SDSS|SDSS_i            6219.561568191313     All      -0.00037838053651529453    -3.423768466311751e-05     -0.0005143402628173447     8.914600516162894e-05      
Lambda        AB|SDSS|SDSS_z            7394.540250307068     All      -1.925261325159695e-05     -1.8972344632864729e-06    -5.2043716857296345e-05    3.3307457911598947e-06     
Lambda        AB|SDSS|SDSS_r            5128.795996656833     All      -6.970806261994477e-05     -5.088739245835219e-06     -0.0016510963510736364     -5.2632207401621715e-05    
Lambda        AB|SDSS|SDSS_g            3924.9956756093934    All      -0.0009758488865683562     0.00039386909555449767     -0.00108604688160536       0.0003976969248674005      
MWEBV         All|All|All               All                   All      -0.5738627924185855        -3.207837090660348         0.08618425118882556        -0.8541260768172292        
Redshift      All|All|All               All                   All      5.457822001305207          0.3536071278874786         -0.7533804580425185        -1.6962306176448056        
