#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA2_FLWO
@BAND  CfA2_4Sh3_Harris_V
@MAGSYS  Linear_AB11_off
51520.450000000186  14.537  0.004
51521.50999999978  14.62  0.004
51522.5  14.694  0.008
51524.470000000205  14.858  0.008
51526.54000000004  15.041  0.007
51541.450000000186  16.302  0.007
51545.450000000186  16.495  0.008
51549.419999999925  16.64  0.006
51552.43000000017  16.738  0.005
51554.39000000013  16.778  0.007
51575.310000000056  17.394  0.018
51581.35000000009  17.557  0.007
51584.31999999983  17.629  0.02
51588.29000000004  17.743  0.022
51589.310000000056  17.779  0.027
51590.330000000075  17.806  0.014
51600.29000000004  18.018  0.022
51640.18000000017  18.994  0.042
