#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3632.8515059648726    All      -0.24701486789255836       0.08245857972641879        -0.05322036946404651       0.10494536058710188        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.5474544159515    All      0.5899660559401527         0.7696207671502808         1.305469993003916          0.1167765798865357         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.635406055738     All      -0.5077448416115394        0.25334691207392623        0.00490284821603737        0.24813141494822893        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6411.051147132237     All      0.1755808164599671         -0.27371512840641543       -0.5884488237554386        -0.17261023899702854       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7947.312413929149     All      0.12252243510069219        -0.07232007171129595       -0.006717668723954517      -0.06376639329875242       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6536.574839809516     All      0.8059727996872006         0.08962056293677634        0.37753218983960224        -0.21649196310827323       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4407.278023710361     All      -0.21173556210759947       0.23238104126601655        -0.24267910736739395       0.13383373474406615        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7880.551907504214     All      0.2467961353168894         -0.007891798965342645      0.09208862133140983        -0.078850746957599         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5404.116805119471     All      0.04771518020089291        -0.08263900332061702       -0.8817195449204007        -0.08180773979661396       
Check         All|All|All                                     All                   All      1.0220581510940978         0.9908618607497477         0.007208138159731092       -0.009839991992334485      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3632.8515059648726    All      -0.0003995627865411922     -0.00012367322750695377    -0.0003229459020009453     7.545471350492149e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.5474544159515    All      0.00016679384102032333     0.0003270005126620873      -4.328620518816071e-05     5.025291906546773e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.635406055738     All      -0.0005439539716617079     0.00038467122650520836     9.249933231435267e-06      0.00030289655994124526     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6411.051147132237     All      3.5279714792233885e-05     -3.4263039839086638e-06    5.2529192102402865e-05     -1.0263687119906632e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7947.312413929149     All      -1.9451747419222485e-05    -1.2218313296894657e-05    -3.876667883812296e-05     6.261886389267039e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6536.574839809516     All      -0.0001295182803786665     -4.417169039963615e-05     -0.00013692591958877357    2.1689817262334977e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4407.278023710361     All      -0.00020670748408811016    0.0002565726811291385      -0.00018064971779339637    0.0001428440240650011      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7880.551907504214     All      1.7172916427490698e-05     2.8703220724232843e-05     6.442537302363991e-05      6.6308079482022195e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5404.116805119471     All      0.00011749137249786665     -0.00020530013335074186    -0.0009027782486736543     -0.00014543065990778474    
MWEBV         All|All|All                                     All                   All      -0.971788395838804         -4.0396681119379885        0.02762872885844203        -0.9980764105034456        
Redshift      All|All|All                                     All                   All      5.347395667300935          -3.0690493849547806        0.6719628095078534         -2.7115264323625867        
