#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3632.8515059648726    All      -0.27968096701274836       0.10091745264371177        -0.06841670235949611       0.12092030339843948       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.5474544159515    All      0.5931497917634623         0.49878509724221587        1.1517003370152816         0.020657410960862276      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.635406055738     All      -0.4846945705349749        0.29600805411256204        0.13126162001152594        0.26015813243945146       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6411.051147132237     All      0.37272268722321605        -0.18414837488629487       -0.6540006212775413        -0.21057626945424562      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7947.312413929149     All      0.15465626561518           -0.04133842493478923       0.04567588410620414        -0.06180361382000628      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6536.574839809516     All      0.6212937662309371         -0.12237015915794736       0.3462130927632721         -0.22678590608479357      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4407.278023710361     All      -0.2550139125731613        0.2743490616268218         -0.3570662493926842        0.15649670945706365       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7880.551907504214     All      0.18644193961812863        -0.05630353023988732       0.09278636429681089        -0.07492955633529409      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5404.116805119471     All      0.08777020215919859        0.23101882012213082        -0.6839222438231424        0.016140479009498936      
Check         All|All|All                                     All                   All      0.9966452024892382         0.9969179965285235         0.004231481340230658       0.00027768957097621533    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3632.8515059648726    All      -0.0007320975913147516     0.0002577474912650645      -0.00020225879181354927    0.0003133992273945798     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.5474544159515    All      1.4713899727932883e-05     0.0002797072754616132      -0.0008282137675475995     4.9357683902169104e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.635406055738     All      -0.00031227002963157634    0.000325758012125507       -0.0001668729060961346     0.00020037995231984135    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6411.051147132237     All      -2.0581706820014947e-05    -3.8315978028576125e-06    -7.92549037387234e-06      5.102383334181376e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7947.312413929149     All      -3.3718520641266658e-06    5.8046153722956125e-06     6.478575001612502e-06      3.2781863881573914e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6536.574839809516     All      -0.00023182668207736285    -3.0178925455923753e-05    -0.0006370556901673443     3.72544387845319e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4407.278023710361     All      -0.00023718564696587855    0.0002492972240781448      -0.0003354737616730176     0.00014349282270189576    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7880.551907504214     All      3.2252789098415925e-05     2.2889439814037864e-05     0.00010261420774394754     1.5292498946393346e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5404.116805119471     All      7.112467365569155e-05      0.0001959309252451826      -0.0006247654924397409     1.2773087662946764e-05    
MWEBV         All|All|All                                     All                   All      -0.974440428590901         -4.074613515321568         -0.01633573594506411       -1.0105573558811534       
Redshift      All|All|All                                     All                   All      5.518221307452511          -4.4913234775708855        0.40588800024278276        -3.2423251234495556       
