#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4287.722854838283     All      -0.8055112461544451        0.6297138867010332        -0.012323599182572505     0.4669500976441257         
Zeropoint     AB|SDSS|SDSS_u            3260.7555587464008    All      -0.05499082431047275       0.052238791992742506      0.1911565894118331        0.04345865441453954        
Zeropoint     AB|SDSS|SDSS_r            5602.771985030099     All      0.6043141589866421         0.6054655483698212        -1.581468944844356        -0.07019865018257254       
Zeropoint     AB|SDSS|SDSS_i            6794.3402966596395    All      1.0826067104199657         -0.2920930788402387       1.320014999070445         -0.3888787408428513        
Zeropoint     AB|SDSS|SDSS_z            8077.90424567553      All      0.16722833822283642        0.008070846635277462      0.07047174544011904       -0.04869800080203996       
Check         All|All|All               All                   All      0.9936471371645266         1.0033959948586357        -0.012149210104531169     0.0026333602312014134      
Lambda        AB|SDSS|SDSS_g            4287.722854838283     All      -0.0006629777626608118     0.00032963595442011856    -0.000914668981374804     0.00028250946795849586     
Lambda        AB|SDSS|SDSS_u            3260.7555587464008    All      -4.9386489326588476e-05    4.630595815665691e-05     0.0001692384061761573     3.872251111706154e-05      
Lambda        AB|SDSS|SDSS_r            5602.771985030099     All      -0.00011760165686032408    9.608576288364437e-05     -0.0018703897738474174    -1.3861882499390144e-05    
Lambda        AB|SDSS|SDSS_i            6794.3402966596395    All      -0.000705999866962758      0.00016358273232723583    -0.001353169641051162     0.00022286591480976702     
Lambda        AB|SDSS|SDSS_z            8077.90424567553      All      1.3783626319657613e-05     8.293993969128684e-06     2.8624434493863112e-05    -5.107768159184632e-07     
MWEBV         All|All|All               All                   All      -0.7138923864277822        -3.5889477123395963       0.29725514780253365       -0.9232349741572857        
Redshift      All|All|All               All                   All      4.375559836987984          -0.7548592066299875       6.288687883921111         -1.3905110109188206        
