#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4287.722854838283     All      -0.7100724445367054       0.6392422114604557        0.3391010159795038         0.4546486955004408         
Zeropoint     AB|SDSS|SDSS_u            3260.7555587464008    All      -0.04297891026234667      0.051390722384070386      0.16125477033495095        0.037935353805311184       
Zeropoint     AB|SDSS|SDSS_r            5602.771985030099     All      0.6161584472842867        0.5733543571619037        -1.5207549522181174        -0.08180700930822968       
Zeropoint     AB|SDSS|SDSS_i            6794.3402966596395    All      0.9779218316667705        -0.29157074347097023      0.911953231316609          -0.3728192125235718        
Zeropoint     AB|SDSS|SDSS_z            8077.90424567553      All      0.15560234639156728       0.013601656756279112      0.051837428002765584       -0.04394102996707142       
Check         All|All|All               All                   All      0.9966312705435727        0.9860182042917387        -0.056608506584288065      -0.0059832024931209885     
Lambda        AB|SDSS|SDSS_g            4287.722854838283     All      -0.0006621907294051915    0.00031887595162526723    -0.0009609369237658436     0.000276683492662716       
Lambda        AB|SDSS|SDSS_u            3260.7555587464008    All      -5.837096753300166e-05    5.5225720455478805e-05    0.00016251980551346568     4.425469099147403e-05      
Lambda        AB|SDSS|SDSS_r            5602.771985030099     All      -4.305430643927009e-05    4.3354939784305415e-05    -0.0016479340853429538     -4.5393395266582794e-05    
Lambda        AB|SDSS|SDSS_i            6794.3402966596395    All      -0.0006361464877129744    0.000111598123346422      -0.0013057516401845267     0.00018529532128798573     
Lambda        AB|SDSS|SDSS_z            8077.90424567553      All      9.946265906407119e-06     7.4538357797116195e-06    -1.7269039280092795e-08    -8.126371286895349e-07     
MWEBV         All|All|All               All                   All      -0.7486091856171537       -3.5456828513179772       0.3851320196912811         -0.893912240717628         
Redshift      All|All|All               All                   All      3.9372685731895065        -0.5703197077821187       3.5247555429318345         -1.3109761470977082        
