#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4203.152960872515    All      -0.5495644706760817        0.1737034127596182        -0.45702199127326343       0.21519735199715403        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4326.430410631868    All      -0.5024056857275284        0.5501560142720407        0.7618939149541815         0.3768538001134502         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6185.325492042098    All      1.1830909175215538         -0.6053138412356773       0.31786013987172435        -0.5683576285325098        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7663.75883094257     All      0.2958911661997495         -0.06531225001289442      0.531010947737073          -0.09395925614744785       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7989.632980960525    All      0.0803846600730854         0.01550268019343548       0.05318561586302613        -0.01876076563726884       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6183.049438977986    All      0.31601740722958516        0.36179557327020717       -0.5537352914190015        -0.00979920810546617       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5232.417519859663    All      0.15207786999275585        0.4891549044115706        0.9691014310080093         0.15304362555925471        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5187.997612085544    All      0.02354818426892802        0.07468155815928412       -1.6189120390322123        -0.055588786793829635      
Check         All|All|All                       All                  All      0.9990400488820478         0.9943680518175846        0.00338272770953707        -0.0013708675466633721     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4203.152960872515    All      -0.0004652905020204089     0.00013763978192875645    -0.0006701762649598362     0.00016648734060249764     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4326.430410631868    All      -0.00029509904055959697    0.000205121616058619      -0.00017646789041526645    0.00015506337316981253     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6185.325492042098    All      -0.0003632584829307121     0.00027856970823302566    -0.0003067644791554992     0.00019537506759590697     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7663.75883094257     All      -0.0001020452350741041     2.6060077079633672e-05    -0.0001781190756586913     3.3779478432735205e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7989.632980960525    All      2.1678494008716476e-06     8.964649060199649e-07     2.8885265624014233e-06     -2.85230083323351e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6183.049438977986    All      -5.6057375884693395e-05    -6.25508574836003e-05     7.784808226007033e-05      1.3588617819943756e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5232.417519859663    All      5.413736067756484e-05      8.131754930023448e-05     -0.0011317981278266944     -4.1653470648074105e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5187.997612085544    All      -2.9944785423271245e-05    -5.963722692214108e-05    -0.0024316152814386808     -0.00011818362705406162    
MWEBV         All|All|All                       All                  All      -0.8195588363912907        -3.9568382412006997       0.1175904133497475         -1.0166675954985323        
Redshift      All|All|All                       All                  All      8.197916409092155          -1.0789703757173363       17.5109259659599           -2.2403550252355005        
