#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4203.152960872515    All      -0.35610039034745905       0.030378478214210247       -0.77220479171492          0.09142892902173462        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4326.430410631868    All      -0.4753617319166876        0.5146620684967962         0.5568375070114651         0.3473324230860113         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6185.325492042098    All      1.2300161663198335         -0.6415020525063486        -0.03819358996451916       -0.6113194594955444        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7663.75883094257     All      0.4319658326170003         -0.2205741354913915        0.10949925489621704        -0.20766728670606194       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7989.632980960525    All      0.14242453351180973        -0.10943900322457623       0.014118722106709614       -0.08141018625660154       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6183.049438977986    All      0.14813305770479063        0.4874935438544892         -0.38262631810841996       0.09346601972926548        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5232.417519859663    All      -0.25326055505031864       1.1129854863657362         1.7047985179308223         0.5211086118477452         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5187.997612085544    All      0.037733421043155524       0.02221877661832128        -1.0653939277165736        -0.052597267922477146      
Check         All|All|All                       All                  All      0.9055503338821245         1.1962231623272368         0.1268353744407813         0.10034178330407145        
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4203.152960872515    All      -0.000433254668708729      -2.0072692524333398e-05    -0.0011110304464952362     8.500677687770302e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4326.430410631868    All      -0.0003781502069500609     0.0003530744616343571      1.4341230846937235e-05     0.00023882391440079753     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6185.325492042098    All      -0.00028519264954790974    0.0002501509873217381      -1.4755184155417796e-05    0.00017372057871021355     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7663.75883094257     All      -0.00011794153720925499    2.6055510859779623e-05     -2.0724825214281026e-05    4.597972215461828e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7989.632980960525    All      -2.7753929828809353e-06    3.864179693962063e-06      1.722725390647073e-05      2.9315004762311043e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6183.049438977986    All      1.2726164054649253e-05     -7.168960777505828e-05     0.00012097828485647278     -2.2098288861358553e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5232.417519859663    All      -1.7725428320019383e-05    0.00026367797069354044     -0.0003042254264116907     7.808616143164763e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5187.997612085544    All      9.98196268308083e-05       -0.0002007222836626742     -0.0019461028907800137     -0.00018474202167112196    
MWEBV         All|All|All                       All                  All      -0.7785390570226172        -3.994417285320928         0.11909595523171834        -1.042202632713865         
Redshift      All|All|All                       All                  All      7.455575665508             -0.7395697990963512        13.605899687769018         -2.0622596766710086        
