#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5417.209906338053    All      1.0012531883541846      0.9994701935997163       -8.06167702585121e-09    -0.0005807804100710187    
Check         All|All|All                           All                  All      1.0012531883541846      0.9994701935997163       -8.06167702585121e-09    -0.0005807804100710187    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5417.209906338053    All      0.020785255484861098    -0.009235832053874475    7.332226811990865e-05    -0.00977558383974044      
MWEBV         All|All|All                           All                  All      -1.0907944749428422     -3.972672900002383       -0.015900172936635443    -0.9394321657172182       
Redshift      All|All|All                           All                  All      -89.97274248945048      38.712260916543514       -8.90770312087758        41.51942934150937         
