#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                   dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5417.209906338053    All      0.8414489453273833      1.0885528633985846       0.016788845846781086    0.08123908467498708      
Check         All|All|All                           All                  All      0.8414489453273833      1.0885528633985846       0.016788845846781086    0.08123908467498708      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5417.209906338053    All      0.010363807318601037    -0.003338759300329756    0.001267232731917958    -0.004406825972201314    
MWEBV         All|All|All                           All                  All      -16.846278253055694     4.838047569454584        1.6762497535554033      7.138101641285788        
Redshift      All|All|All                           All                  All      -85.72873439500536      35.63916894760632        -2.3165745316001463     39.43014092240471        
