#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          7693.589298550106    All      0.3849863756208805         -0.01917522574039765      0.26417915816811727       -0.11985962758705086      
Zeropoint     AB|DECam|DECam_g          4066.071428899221    All      -0.849647247857645         0.6793009985491594        0.006136475418701658      0.49830258747204126       
Zeropoint     AB|DECam|DECam_i          6565.319871278384    All      0.8856046239067302         -0.044765733851370726     -0.0314688394162966       -0.30445654356942464      
Zeropoint     AB|DECam|DECam_r          5404.110993996442    All      0.5761864277277099         0.3832548043771311        -0.23746204049833264      -0.07344101723089588      
Check         All|All|All               All                  All      0.9971301793976757         0.9986148433345221        0.0013847536721896814     0.0005453990846698564     
Lambda        AB|DECam|DECam_z          7693.589298550106    All      -0.00015016375028330042    9.325135136459734e-06     -9.235068595932609e-05    4.78295900466881e-05      
Lambda        AB|DECam|DECam_g          4066.071428899221    All      -0.0007782833093236906     0.00046675743641527777    -0.0008685182007941998    0.00036679275316943427    
Lambda        AB|DECam|DECam_i          6565.319871278384    All      -0.00030260126734663273    -6.903739683630499e-06    -0.000250847789812483     8.512422816244042e-05     
Lambda        AB|DECam|DECam_r          5404.110993996442    All      0.00015596602045769018     5.0624400563927705e-05    -0.0007167633100818092    -6.629908578989263e-05    
MWEBV         All|All|All               All                  All      -0.5083496769809486        -3.2820617247105943       0.08268727206165075       -0.8997993131782409       
Redshift      All|All|All               All                  All      7.087444899655109          -1.2182647415183823       1.715434206565574         -2.6288909299263867       
