#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7693.589298550106    All      0.4214496694451211         -0.026992826831673256     0.21268035175943112        -0.13658152706376298      
Zeropoint     AB|DECam|DECam_g          4066.071428899221    All      -0.8809585771203959        0.7245287146993462        0.1541606329917511         0.5298395109249551        
Zeropoint     AB|DECam|DECam_i          6565.319871278384    All      0.8703103776708003         -0.05917386399953983      -0.17342456267492867       -0.3105027383572656       
Zeropoint     AB|DECam|DECam_r          5404.110993996442    All      0.5866119109868322         0.3541079142991066        -0.2433898117459421        -0.08659557032472953      
Check         All|All|All               All                  All      0.9974133809823578         0.9924699381672397        -0.04997338966968856       -0.0038403248208030427    
Lambda        AB|DECam|DECam_z          7693.589298550106    All      -0.00015546368071319287    8.501222617429608e-06     -0.00010471589595369682    4.873577380617786e-05     
Lambda        AB|DECam|DECam_g          4066.071428899221    All      -0.000799666920498384      0.0004456423056493401     -0.0009058731836708544     0.00036521322475075477    
Lambda        AB|DECam|DECam_i          6565.319871278384    All      -0.00024768802319358245    -3.346893313973114e-07    -0.00016459038350339646    7.322620564241688e-05     
Lambda        AB|DECam|DECam_r          5404.110993996442    All      0.00020628320480646755     2.3083809539790318e-05    -0.0007181863103110778     -9.172342663820681e-05    
MWEBV         All|All|All               All                  All      -0.5117341981056414        -3.2822582350149787       0.05743097651930151        -0.8998879456437111       
Redshift      All|All|All               All                  All      7.213457990370657          -1.050008396496338        2.136116972036295          -2.5963577725400726       
