#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6183.163825856766    All      1.2235961627275025         -0.16783623288301186      0.10950216590788209        -0.44834872927724256       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5388.243361531823    All      0.5260803233477112         0.5093503734674876        -0.4024139309119157        -0.023407380591256022      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4404.335340010064    All      -1.1712574038175754        0.7652398011889439        0.03670599328398083        0.6324188684320602         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7576.274366615682    All      0.41644026928875866        -0.10698237445758707      0.2592588677135854         -0.15892644262852917       
Check         All|All|All                                All                  All      0.994859351546397          0.9997715673158325        0.0030530959935326507      0.0017363159350324286      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6183.163825856766    All      -0.00022357696461204125    2.7377700220099513e-05    -0.00027640748707544654    6.940939384456175e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5388.243361531823    All      -5.115990659969548e-05     5.4750516230924845e-05    -0.0013275287824239608     -2.4743003375069162e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4404.335340010064    All      -0.00047766816106917004    0.00015244145480595398    -0.001116407459407837      0.00015542729444177538     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7576.274366615682    All      -0.00010952094524292143    3.048415382477951e-05     -0.0001202175425711653     4.0239510011547655e-05     
MWEBV         All|All|All                                All                  All      -0.8568830981784088        -4.085333476759523        0.05719632158407428        -1.049060092027393         
Redshift      All|All|All                                All                  All      6.219132031613765          -0.7919260403832951       6.717620091895249          -1.9839557392206553        
