#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6183.163825856766    All      1.259038536506371          -0.19339052008096047      -0.08529925164800431       -0.47691044106290165       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5388.243361531823    All      0.44097252972680895        0.5129148469181555        -0.2580616614458174        0.011917872825169228       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4404.335340010064    All      -1.1744612374559076        0.8026636179688573        0.02514111864754938        0.6451365435438043         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7576.274366615682    All      0.4721671145872191         -0.12461039412530184      0.31957664864139357        -0.18012882991812706       
Check         All|All|All                                All                  All      0.9977169433644915         0.9975775506807505        0.001356854195121271       1.5145387944837108e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6183.163825856766    All      -0.00026848734278010577    3.1781159303143335e-05    -0.0006998495610016738     6.657625805407811e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5388.243361531823    All      -2.1917168199911207e-06    0.00010414794756291091    -0.001213458772047579      -1.9512764621373394e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4404.335340010064    All      -0.000572900670604446      0.00021106833394100069    -0.0008803108677844599     0.00021608026568696275     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7576.274366615682    All      -0.00012390304020314823    4.1556853109061604e-05    -0.00018802711317243852    4.5504944236998625e-05     
MWEBV         All|All|All                                All                  All      -0.8555457801080495        -4.086135338126473        0.05571661142841527        -1.0498229258152219        
Redshift      All|All|All                                All                  All      6.136727179903132          -1.0582339925320206       5.756393278583259          -2.0867541671886793        
