#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4862.440507032053     All      0.4250520222277874         0.35013798874370394       3.8479169242125604         0.14731289418014248        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            3980.4504429534004    All      -0.6594727574457259        0.18358011772878768       -1.3910911844903266        0.21253204654701588        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4348.269227596254     All      -0.4356134046101747        0.4461772270007103        1.6763203817254768         0.36203469834113206        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5628.630896630639     All      0.5321533395722979         0.12897321094822445       -7.872929076691149         -0.4826616977624629        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6881.863140214166     All      1.1329151470714836         -0.11410325514038533      3.8375300837008552         -0.23494357678985403       
Check         All|All|All                              All                   All      0.9950343468156685         0.994765289281041         0.09774712845741718        0.004274364515973489       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4862.440507032053     All      -4.017590235198999e-05     -3.653744419769945e-05    -0.00048376289403971633    -2.0402950595814526e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            3980.4504429534004    All      -0.0007538217852649648     0.0001553323293359911     -0.002489895769590895      0.00018502879288827468     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4348.269227596254     All      -0.00021237601724430333    7.345227364628399e-05     -0.0004240814037778665     7.417887249935493e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5628.630896630639     All      -0.00011850480403353695    1.9745044415350087e-06    0.0008807072802303659      7.85459953962971e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6881.863140214166     All      -0.0009373296735274664     0.00010093209307120735    -0.0031326750393398657     0.00019839911602902675     
MWEBV         All|All|All                              All                   All      -0.6923146280572743        -3.6214924963610784       0.1708953764211284         -0.9465033230404266        
Redshift      All|All|All                              All                   All      8.256644603032836          0.10088904384470965       12.056374496894916         -2.1185772811444696        
