#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4862.440507032053     All      0.3418847287501141         0.35785802369083797       2.5710279399326796        0.11993619632296448       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            3980.4504429534004    All      -0.6258559406699534        0.193595825676951         -0.8575588615943097       0.22865348609396874       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4348.269227596254     All      -0.5153456755426583        0.4364403911480963        0.9386454621847284        0.35191547068731677       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5628.630896630639     All      0.7826702516872146         0.12362893110626771       -5.148408444930996        -0.4444212630412031       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6881.863140214166     All      1.0250180485178226         -0.11671280450151755      2.650123926168213         -0.2536364414118225       
Check         All|All|All                              All                   All      1.0083714127425398         0.9948103671206354        0.15383002176031546       0.002447448651224371      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4862.440507032053     All      -7.569998589504133e-05     -7.922637316533544e-05    -0.000752724130999847     -3.473928117826487e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            3980.4504429534004    All      -0.0006104560239421669     0.0001243876283473434     -0.0017870640877760272    0.00015961429063980279    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4348.269227596254     All      -0.00021012396369901373    1.6721504289837002e-05    -0.0008477453189632067    3.606005188628385e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5628.630896630639     All      -0.00018328621430342107    -1.96834937158573e-05     0.000857926737012917      9.157611842290991e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6881.863140214166     All      -0.0007761644074002439     8.753709329827721e-05     -0.001683712204772956     0.00020619965102430823    
MWEBV         All|All|All                              All                   All      -0.7049508205769057        -3.6167913399255625       0.1294150324251453        -0.942707055344108        
Redshift      All|All|All                              All                   All      8.24002914173737           0.7131563600847102        13.651751103285209        -1.8425351402288557       
