#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4810.731128647107    All      1.3724539996003768         0.4668649020691973         3.7546975862096788         -0.12742525349200445      
Zeropoint     AB|SDSS|SDSS_i            5833.852323652317    All      0.7622787549703969         0.1171207556046383         -2.856493414976266         -0.3376213671718264       
Zeropoint     AB|SDSS|SDSS_z            6935.964110753141    All      0.1554756583822724         0.021792428541367315       0.6644051571339195         -0.013895675346435868     
Zeropoint     AB|SDSS|SDSS_g            3681.585091075477    All      -1.2922668395639711        0.3927748363967254         -1.5604720110780197        0.47923681121922085       
Check         All|All|All               All                  All      0.9979415733890749         0.9985529226119283         0.002137317289312435       0.00029451520895412697    
Lambda        AB|SDSS|SDSS_r            4810.731128647107    All      -9.055975082267413e-05     -2.3629791326099405e-05    -0.000499265893494573      -4.786540430559523e-07    
Lambda        AB|SDSS|SDSS_i            5833.852323652317    All      -5.4314583634796344e-05    -1.032796772439148e-05     0.00012502885643937302     1.990735154482051e-05     
Lambda        AB|SDSS|SDSS_z            6935.964110753141    All      -5.818436935459244e-05     -8.55920136066283e-06      -0.00024925420927990804    5.041479258170101e-06     
Lambda        AB|SDSS|SDSS_g            3681.585091075477    All      -0.0021104418064519163     0.0005426020809239737      -0.005102211769656235      0.0006364953990009726     
MWEBV         All|All|All               All                  All      -0.5831623716159662        -2.9056283678231765        0.1455526054372158         -0.7500082375447269       
Redshift      All|All|All               All                  All      4.831827648921516          -0.6994561769154473        12.53347831712988          -1.2424095427981008       
