#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3612.5046674389264    All      -1.589678524859423        -0.06445144491920018       1.0799898812341668       0.5450116266023791         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5422.8726948219455    All      2.519349618339141         0.2393601669920642         -0.24404135213174083     -0.7535580184329399        
Zeropoint     VEGAHST|ACSWF|F850LP           4243.129310718921     All      -0.0050549154632369975    0.7817218838955142         -0.8891281291364406      0.2166013829534394         
Check         All|All|All                    All                   All      0.9246161780164809        0.9566306059683782         -0.05317960003401456     0.008054991122878608       
Lambda        VEGAHST|ACSWF|F775W            3612.5046674389264    All      -0.0029006411658925677    -0.000511130216228102      0.005175292658641594     0.0010092918709766658      
Lambda        VEGAHST|NICMOS2|F110W_faint    5422.8726948219455    All      0.00039936000068261995    9.503962156759071e-05      -0.001420862164387401    -0.0001625337119335841     
Lambda        VEGAHST|ACSWF|F850LP           4243.129310718921     All      0.00013508168792661395    -0.00018286273602667556    -0.001487762893121644    -0.00016995698381464325    
MWEBV         All|All|All                    All                   All      -0.10023560927581388      -1.3593032713957953        -0.14622588067059183     -0.41664514911135264       
Redshift      All|All|All                    All                   All      0.36748014689530173       2.6199849796423536         -47.7201727142377        -1.3958172081770401        
