#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3612.5046674389264    All      -1.6270181737829499        0.09064760855252985       -2.094534447055077        0.4660308023090991         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5422.8726948219455    All      1.7055934292721022         0.19744689710314844       -1.2858080072064058       -0.5486326479336259        
Zeropoint     VEGAHST|ACSWF|F850LP           4243.129310718921     All      0.9136502144867278         0.7160629047803013        3.334924044597118         0.08446165615745235        
Check         All|All|All                    All                   All      0.9922254699758801         1.0041574104359796        -0.04541840966436439      0.001859810532925582       
Lambda        VEGAHST|ACSWF|F775W            3612.5046674389264    All      -0.0044681902406210165     0.0002640915214129112     -0.008326964020734247     0.0011698656974571126      
Lambda        VEGAHST|NICMOS2|F110W_faint    5422.8726948219455    All      0.0008956222836866422      0.00015460800581718938    -0.001201665163860126     -0.0002949975261623095     
Lambda        VEGAHST|ACSWF|F850LP           4243.129310718921     All      -0.00036918679243319103    -8.03452599257773e-05     -0.0023483067326983452    -1.0708954355784891e-05    
MWEBV         All|All|All                    All                   All      -0.082772095069092         -1.350861206364229        -0.061811333861736546     -0.4158166983824739        
Redshift      All|All|All                    All                   All      6.336309287541802          -0.4035121512924178       10.748540959350375        -1.715723559414729         
