#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53290.0  0.5248074602497729  0.024168170755692418  22.92
53300.700000000186  0.40550853544838494  0.0186742763202013  22.92
