#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4473.976042506406    All      -1.1680061469891563        0.864201371584078          -0.17136963240412598       0.6543094068188499         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6396.265613910314    All      1.1828645109411937         -0.15115562865477966       0.056172325395346945       -0.4320275345331631        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7925.118435032527    All      0.44041554728719196        -0.0888752412609134        0.28893066047984345        -0.1595137746131488        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5410.860318177168    All      0.5157561179899948         0.36165788274784977        -0.25766771934047916       -0.061693391788856904      
Check         All|All|All                       All                  All      0.9710300292292239         0.9858283844162345         -0.08393436586941475       0.0010747058836810333      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4473.976042506406    All      5.444141824473888e-06      -0.00013317526646384824    -0.0011731559843074228     -9.750546519167396e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6396.265613910314    All      -0.0003899281310275136     5.11597621017217e-05       0.00012457931763777227     0.00014923624092690884     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7925.118435032527    All      -2.6838199359584846e-05    -9.563993296407441e-06     -0.00039729294184656503    -1.2102582074854073e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5410.860318177168    All      2.3729932138479714e-05     1.0444206244955945e-05     -1.2797735470367625e-05    -4.898702167089294e-06     
MWEBV         All|All|All                       All                  All      -0.9116332526040889        -4.134856469008397         -0.15773713264633504       -1.0569489262465328        
Redshift      All|All|All                       All                  All      1.7347152460141613         0.694253390990196          -9.145877134307367         -0.7470511473694055        
