#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4473.976042506406    All      -1.1930936531661165        0.8782034602916156         0.03697262541402678        0.6763395319672488         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6396.265613910314    All      1.1868919470066555         -0.1681906378349307        -0.12187739143799131       -0.44683380699302644       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7925.118435032527    All      0.38674798912680153        -0.08449060145010456       0.14995006912558165        -0.14680632935071708       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5410.860318177168    All      0.6187653784789955         0.3722878709660815         -0.06398705252761139       -0.08314128133850054       
Check         All|All|All                       All                  All      0.9993116614463359         0.9978100919726618         0.0010582505740057285      -0.00044188571499523266    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4473.976042506406    All      -2.097288722461844e-05     -6.348351657365052e-05     -0.0007799583684129328     -4.8653070300196704e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6396.265613910314    All      -0.00036019444181040053    5.155321642380772e-05      9.448040186094519e-05      0.00013833598478474194     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7925.118435032527    All      2.051468143612675e-05      -1.2045354306330181e-05    -0.00013024400538241468    -1.6418066605813598e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5410.860318177168    All      0.00010370354098722907     3.949484084901631e-05      0.00023651058387660025     -1.036050493391483e-05     
MWEBV         All|All|All                       All                  All      -0.8677625835088416        -4.14001444853036          0.053012087316719136       -1.0635144003449928        
Redshift      All|All|All                       All                  All      1.6751321189748805         0.3170044408760564         -8.390563570503707         -0.8168191815172091        
