#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5452.817002750371 All -0.03612265633435552 -3.4331453146556052 -10.863375971253356 -1.5913046144569902
Zeropoint AB|CNIa02|SDSS_i 7455.760656755596 All 1.801371092401369 0.44153165168507247 9.249145277141828 -0.030197569298979137
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4358.583288176744 All 3.862871442114033 2.4506876411859215 33.05391463431498 1.0150496755612513
Zeropoint AB|CNIa02|SDSS_r 6148.194690115396 All -4.6070056118160085 -7.388909647186522 -1.7010216900255006 -0.9820664517602631
Check All|All|All All All 1.0211142663650383 -7.929835668971133 29.738662250177953 -1.5885189599549812
