#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3749.2518204425655    All      -1.0234212631504138       0.5251752552946853        -0.011267751950222449     0.5039260053511135         
Zeropoint     AB|SDSS|SDSS_z            7063.445615260502     All      0.15900504210624788       0.012841718792988566      0.4485001315316567        -0.027595702049974715      
Zeropoint     AB|SDSS|SDSS_i            5941.077254378235     All      1.0760577397839692        0.14397978651635723       0.007087820000328815      -0.3032921569796635        
Zeropoint     AB|SDSS|SDSS_r            4899.151315410982     All      0.7385969688501075        0.2984689652552053        -0.5973485991439265       -0.17002109500899681       
Check         All|All|All               All                   All      0.9502384875899109        0.9804657258592364        -0.1530283995621634       0.003017051312478536       
Lambda        AB|SDSS|SDSS_g            3749.2518204425655    All      -0.0018741748328782427    0.0007648133475335509     -0.0048509439106694495    0.0006431299233387879      
Lambda        AB|SDSS|SDSS_z            7063.445615260502     All      -7.546026122801029e-05    9.652914620274867e-07     -0.0005240763530023369    1.5071961982793533e-06     
Lambda        AB|SDSS|SDSS_i            5941.077254378235     All      -5.902444912939639e-05    4.454582167149051e-06     -0.001099097630161396     -2.8370470369891147e-05    
Lambda        AB|SDSS|SDSS_r            4899.151315410982     All      -0.000355765386532406     -6.204292817705366e-05    -0.0025896603786596884    -1.988958095147394e-05     
MWEBV         All|All|All               All                   All      -0.6712846702072506       -2.9893177493033107       -0.9558758873580153       -0.7977159855583414        
Redshift      All|All|All               All                   All      3.2117036983672493        -1.1270054897584814       8.645878040437793         -1.027434494001874         
