#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_v6     5353.327091335175     All      -0.042400066165363536      -0.01765696385431781       -0.6342544275519391        -0.020244219629827337      
Zeropoint     Linear_AB11_off|NB99|NB99_b4     4143.776591853413     All      -0.3154656365808457        0.15802891850658085        0.06533831110666632        0.1571485028368208         
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7696.5199363623915    All      0.14524182159193744        -0.010725338937334072      0.22357962232999462        -0.040826303671030045      
Zeropoint     Linear_AB11_off|NB99|NB99_v8     5241.705273555082     All      -0.042592957604567265      -0.008411050201395653      -0.6578724113760703        -0.01822365242845278       
Zeropoint     Linear_AB11_off|NB99|NB99_v10    5269.709241921929     All      0.4344779818398236         0.27230582609059084        1.1716562937319708         -0.0005391672664341318     
Zeropoint     Linear_AB11_off|NB99|NB99_b1     4145.862263762287     All      -0.45130089522855377       0.16165860508685626        -0.4063120187935976        0.18152923574615218        
Zeropoint     Linear_AB11_off|NB99|NB99_b10    4299.8086140754       All      -0.3797529957271961        0.4374787830560223         0.3180952155614758         0.28039440498864515        
Zeropoint     Linear_AB11_off|NB99|NB99_r10    7164.3940763161345    All      0.3234388958532321         -0.010607334761658649      0.5436788072381571         -0.08454795896523232       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     5355.061274729067     All      0.15017536337102705        0.04760654755386895        -0.7556944398437793        -0.06713320979666315       
Zeropoint     Linear_AB11_off|NB99|NB99_v4     5338.947560218674     All      0.21576935771960004        0.08840078984899691        0.4687455600962398         -0.02057017138026654       
Zeropoint     Linear_AB11_off|NB99|NB99_r4     6345.470613833993     All      0.12334203575631596        0.012113938886670894       0.11550062550691464        -0.03107638800495041       
Zeropoint     Linear_AB11_off|NB99|NB99_r5     6397.980471575049     All      0.1702122841463489         -0.038575575230659354      0.127863118189131          -0.06230313100491769       
Zeropoint     Linear_AB11_off|NB99|NB99_r1     6373.969282224449     All      0.39457055518425166        -0.05622680847956474       -0.39892630355615744       -0.16464178086352116       
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7746.636686905818     All      0.13179770042167283        -0.01152867459968121       0.14261607960666112        -0.04032181502125129       
Zeropoint     Linear_AB11_off|NB99|NB99_i4     7832.6141785785       All      0.06168633540312525        0.0053148829366023165      0.20410267844521712        -0.009253871504732308      
Zeropoint     Linear_AB11_off|NB99|NB99_r8     6242.208151554932     All      0.07448660365922792        -0.032580982791952096      -0.5393868634476551        -0.058945793727527285      
Check         All|All|All                      All                   All      0.993686383640036          0.9965955631096257         -0.011270152756770457      0.0004446803068117733      
Lambda        Linear_AB11_off|NB99|NB99_v6     5353.327091335175     All      -3.2189159620812905e-05    -1.557838200344681e-05     -0.0005505586911794712     -1.915822901440439e-05     
Lambda        Linear_AB11_off|NB99|NB99_b4     4143.776591853413     All      -0.00019925413720862605    5.376494661437394e-05      -0.0001993914636854188     7.351871442934776e-05      
Lambda        Linear_AB11_off|NB99|NB99_i10    7696.5199363623915    All      -3.416425382534128e-05     4.371755402368925e-06      -6.696215063254868e-05     9.56423276581467e-06       
Lambda        Linear_AB11_off|NB99|NB99_v8     5241.705273555082     All      -5.40174032449571e-05      -1.0693463824169057e-05    -0.0005347725217705242     -9.752409140642927e-06     
Lambda        Linear_AB11_off|NB99|NB99_v10    5269.709241921929     All      0.0001350103291999367      5.997127694383854e-05      0.0004960472284762874      -2.3063784869207855e-06    
Lambda        Linear_AB11_off|NB99|NB99_b1     4145.862263762287     All      -0.00032743658776979856    6.84391212893216e-05       -0.0005894875634221039     0.00010264361982745665     
Lambda        Linear_AB11_off|NB99|NB99_b10    4299.8086140754       All      -2.3729152841598267e-05    3.5216669602247364e-05     0.0001931766920366727      2.7821182167058568e-05     
Lambda        Linear_AB11_off|NB99|NB99_r10    7164.3940763161345    All      -0.00013623545209282033    9.430383711574297e-06      -0.0002754618162352864     3.515555927692521e-05      
Lambda        Linear_AB11_off|NB99|NB99_v1     5355.061274729067     All      2.3671280897316703e-05     -2.56337616442142e-06      -0.0005950110731107527     -3.5098102305508556e-05    
Lambda        Linear_AB11_off|NB99|NB99_v4     5338.947560218674     All      5.109698803666109e-05      1.4969051888980045e-05     9.425820182412389e-05      -7.561746741946605e-06     
Lambda        Linear_AB11_off|NB99|NB99_r4     6345.470613833993     All      -4.127249342371939e-05     -4.402313842177226e-06     -2.5013023818718034e-05    1.089361411022078e-05      
Lambda        Linear_AB11_off|NB99|NB99_r5     6397.980471575049     All      -5.943166929869332e-05     1.0595581362626484e-05     -0.00010618307742798504    1.80717163041322e-05       
Lambda        Linear_AB11_off|NB99|NB99_r1     6373.969282224449     All      -0.00013092238466263416    -5.645871207385181e-06     -0.00013014616006270274    3.49988565233416e-05       
Lambda        Linear_AB11_off|NB99|NB99_i1     7746.636686905818     All      -4.12830182128648e-06      2.2921209056347237e-06     2.174677016070249e-05      3.0618013807613827e-06     
Lambda        Linear_AB11_off|NB99|NB99_i4     7832.6141785785       All      1.5760153147305437e-05     2.499527669014505e-06      7.011884057062764e-05      -1.1903401694185484e-06    
Lambda        Linear_AB11_off|NB99|NB99_r8     6242.208151554932     All      -1.1871377965060961e-05    9.577395905291472e-07      8.126446305816451e-05      7.805325405393697e-06      
MWEBV         All|All|All                      All                   All      -0.820375253462565         -3.927307969347904         0.1404567665691303         -1.0057622602167324        
Redshift      All|All|All                      All                   All      4.3382150449787265         0.06711719186469622        0.8182140191193898         -1.3547239519526626        
