#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_v6     5353.327091335175     All      -0.013355341653728224      -0.012813643918541118      -0.3505425002873914        -0.015466653030679324      
Zeropoint     Linear_AB11_off|NB99|NB99_b4     4143.776591853413     All      -0.24915563000729624       0.16058773152280992        0.037610111041439354       0.1351452595253366         
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7696.5199363623915    All      0.13550595371879565        -0.022572672381393488      0.11102731668777775        -0.04653676993940182       
Zeropoint     Linear_AB11_off|NB99|NB99_v8     5241.705273555082     All      -0.0060476430764572        -0.0011013278297333784     -0.17495674162689667       -0.00619633822676255       
Zeropoint     Linear_AB11_off|NB99|NB99_v10    5269.709241921929     All      0.14591906958830717        0.3065775884310895         0.4439295812219314         0.07214230341048435        
Zeropoint     Linear_AB11_off|NB99|NB99_b1     4145.862263762287     All      -0.3898077065653519        0.18429455243502701        -0.464512251891783         0.16627494478540866        
Zeropoint     Linear_AB11_off|NB99|NB99_b10    4299.8086140754       All      -0.31293854409250604       0.36568848876186166        0.6195562451373695         0.24869910046846494        
Zeropoint     Linear_AB11_off|NB99|NB99_r10    7164.3940763161345    All      0.25486562353646464        -0.024440421669158496      0.19328505614374702        -0.08235374348987941       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     5355.061274729067     All      0.11971271772671614        0.08706617795972704        -0.4771512584096016        -0.031927121227721345      
Zeropoint     Linear_AB11_off|NB99|NB99_v4     5338.947560218674     All      0.10474814080597578        0.09774492997429718        0.22136921772910115        0.007597515308536896       
Zeropoint     Linear_AB11_off|NB99|NB99_r4     6345.470613833993     All      0.24889819922444512        0.008762297012143705       0.2202428517303475         -0.06839173665317388       
Zeropoint     Linear_AB11_off|NB99|NB99_r5     6397.980471575049     All      0.16365260386821845        -0.04996013453011372       -0.06442105938768537       -0.07245551255193651       
Zeropoint     Linear_AB11_off|NB99|NB99_r1     6373.969282224449     All      0.43546023841221915        -0.051999767989663326      -0.25966109816568245       -0.17036924327380487       
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7746.636686905818     All      0.15076102299730287        -0.01839561002379142       0.1284632119454092         -0.04936715732396523       
Zeropoint     Linear_AB11_off|NB99|NB99_i4     7832.6141785785       All      0.06778237148295602        0.0016026230491128501      0.1299032729550478         -0.015759934866124304      
Zeropoint     Linear_AB11_off|NB99|NB99_r8     6242.208151554932     All      0.14004932715870042        -0.03480735998016016       -0.31391529353242903       -0.07096517340482195       
Check         All|All|All                      All                   All      0.9960504031247616         0.9962334508235138         0.0002266612907010912      6.973950996032319e-05      
Lambda        Linear_AB11_off|NB99|NB99_v6     5353.327091335175     All      -1.1237002543664709e-05    -1.172842644666524e-05     -0.0003144264684437718     -1.419148211068315e-05     
Lambda        Linear_AB11_off|NB99|NB99_b4     4143.776591853413     All      -0.00020400529503973285    8.754500665356141e-05      -0.0002107312118031375     8.55635588522034e-05       
Lambda        Linear_AB11_off|NB99|NB99_i10    7696.5199363623915    All      -4.262350953900314e-05     8.214247331493715e-06      -4.775796251206419e-05     1.4428311402717938e-05     
Lambda        Linear_AB11_off|NB99|NB99_v8     5241.705273555082     All      -7.4494500754317605e-06    -2.343830534132757e-06     -0.00020140137877932052    -7.324550277351111e-06     
Lambda        Linear_AB11_off|NB99|NB99_v10    5269.709241921929     All      6.076525862864598e-05      6.67238156529177e-05       0.00026653785688335264     1.3835258442114345e-05     
Lambda        Linear_AB11_off|NB99|NB99_b1     4145.862263762287     All      -0.00038515468970928834    0.0001200417949691711      -0.0008433608926567056     0.00012692379230765173     
Lambda        Linear_AB11_off|NB99|NB99_b10    4299.8086140754       All      -8.142345901943006e-05     8.746199107231499e-05      0.00026402231852370046     6.67936507262189e-05       
