#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4347.649634629555    All      -1.0919614815697032        0.7716220057507606        -0.00852187477728196      0.6066501597641616         
Zeropoint     AB|CNIa02|SDSS_i                      7437.057629060138    All      0.44768845668838864        -0.09869765900338834      0.19898451509899817       -0.16909616844404374       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5439.138426932853    All      0.43737534267729955        0.4936416188245474        -0.20403254905581386      0.009222741669902725       
Zeropoint     AB|CNIa02|SDSS_r                      6132.771735857591    All      1.2044981566256348         -0.1683501066462867       0.013821287813999742      -0.446565064117721         
Check         All|All|All                           All                  All      0.9976004744216199         0.9982158589256329        0.000251379079902107      0.0002116688722995641      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4347.649634629555    All      -0.00033415604105916714    8.874947509721638e-05     -0.0007612826530179723    0.00010378169143091899     
Lambda        AB|CNIa02|SDSS_i                      7437.057629060138    All      -6.84127004586107e-05      -1.026714828495675e-05    -0.0004111804316969721    5.908250915859194e-07      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5439.138426932853    All      1.952276714290433e-05      -3.578330763413569e-05    -0.0008661411122930533    -5.6666907870093924e-05    
Lambda        AB|CNIa02|SDSS_r                      6132.771735857591    All      -0.00014514447487541356    1.742168376715987e-05     -0.0003944317529250535    3.535146856411762e-05      
MWEBV         All|All|All                           All                  All      -0.904118407634416         -4.065997645517161        0.02954900256308249       -1.0286094542448219        
Redshift      All|All|All                           All                  All      5.282499012567691          -0.7322023377334119       1.3426931278365215        -1.899267880061075         
