#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4347.649634629555    All      -0.9344776651060239       0.8249325358303139         0.486490013345553          0.594807600249081          
Zeropoint     AB|CNIa02|SDSS_i                      7437.057629060138    All      0.6600889234116254        -0.20969046546923664       0.22069288409423127        -0.2734672520390724        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5439.138426932853    All      0.06071525489667273       0.6037922881445112         -0.469254413349951         0.15595738717227858        
Zeropoint     AB|CNIa02|SDSS_r                      6132.771735857591    All      1.2095922818039837        -0.2199299795467624        -0.2340914315471343        -0.47608885585430083       
Check         All|All|All                           All                  All      0.9959187950062578        0.9991043789588261         0.003837052542698949       0.0012088795279863174      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4347.649634629555    All      -0.000814615554203576     0.0004964483706170818      -0.0005424889395666894     0.0004028478632247627      
Lambda        AB|CNIa02|SDSS_i                      7437.057629060138    All      1.4228362797863922e-05    -2.978525125329571e-06     -0.00033945973635104705    -2.0753378437552748e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5439.138426932853    All      9.20712208718305e-06      0.00023500060338114905     -0.0009019969356412044     3.32963847267495e-05       
Lambda        AB|CNIa02|SDSS_r                      6132.771735857591    All      0.00041184860025987585    -3.8328718009055575e-05    -0.0001743242331708982     -0.00015441685283822297    
MWEBV         All|All|All                           All                  All      -0.857967655983848        -4.079394033445194         0.12684000396918638        -1.0436642660969275        
Redshift      All|All|All                           All                  All      5.017196358454946         -3.740145924014193         3.8936023769446493         -2.678800897989486         
