#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7651.9772037566045    All      0.30341627617438666       0.16159477517483367       0.7695914894824943        -0.011852595094609534     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4211.61352333812      All      -1.883995343374117        1.0169965832648842        0.34559213973652125       0.9603707002550178        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5268.950094717162     All      2.5913041717131655        -0.17661955301022658      -1.0878073368261114       -0.9501476644523028       
Check         All|All|All                                All                   All      1.0107251045134353        1.0019718054294913        0.027376292392904178      -0.0016295592918945667    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7651.9772037566045    All      -6.72209144206081e-05     -3.821619315600207e-05    -0.0001749888917062609    1.638841400927782e-06     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4211.61352333812      All      -0.0015059200772529842    0.0008708719901628226     -5.494658493075836e-08    0.0007741969184800233     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5268.950094717162     All      0.0012592259772848653     -0.0005928334808541463    -0.005302173612764245     -0.0008398883527973008    
MWEBV         All|All|All                                All                   All      -0.809230226967419        -3.864566499229838        0.17676053316547177       -0.9873355306901465       
Redshift      All|All|All                                All                   All      2.2447805990380347        0.14073419903173345       17.91200040096568         0.11397317750032492       
