#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7651.9772037566045    All      0.49722415678706156       -0.12779496146193559      -0.3971052125930685        -0.22131027113167673      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4211.61352333812      All      -1.5785399841219594       0.8229378748743521        -0.5308635711378518        0.7585503419382494        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5268.950094717162     All      2.1624080294804346        0.23670288666672867       0.7659282569518422         -0.5930856585053107       
Check         All|All|All                                All                   All      1.081092202145537         0.9318458000791452        -0.1620405267790781        -0.05584558769873793      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7651.9772037566045    All      -8.310851766437873e-05    -3.724747981731077e-05    -1.4872729053339784e-05    1.4274747220443133e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4211.61352333812      All      -0.0018609855099413597    0.0008182205459559499     -0.001381613709672077      0.0008110504813264609     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5268.950094717162     All      0.0019881755598845745     -0.0005957937476096321    -0.002545016439093775      -0.0009552562083550665    
MWEBV         All|All|All                                All                   All      -0.6996386361759717       -3.9954123983783063       -0.19871136701941072       -1.0824095177472293       
Redshift      All|All|All                                All                   All      1.799620765668575         -1.4528882654097686       10.42645759915577          -0.5941642801283398       
