#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6044.883047741774    All      0.5854172587386082         -0.11753703611923072       -3.6457803509305906       -0.3916697729431042       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4241.843953516553    All      -0.4851326432758245        0.733609121147083          2.633761916668002         0.5145169859955778        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5245.863262510099    All      -0.43810955828384374       0.40801090559439146        -3.2909763235175733       0.12874811321053017       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7364.619131595629    All      1.3703332793407927         -0.04018980393976079       4.440990225884478         -0.26127277600468407      
Check         All|All|All                                All                  All      1.0325083365197323         0.9838931866824829         0.1379954681043154        -0.009677449741680222     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6044.883047741774    All      -8.552533135049608e-05     -1.4047886853780776e-06    3.625065368483732e-05     2.9018528410404143e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4241.843953516553    All      -0.00019372070942984433    0.00021921349975859015     0.0005705399365950362     0.0001599668340397246     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5245.863262510099    All      -0.0001662256433128665     0.00011488414110367319     -0.0011494220839585883    4.027327651928765e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7364.619131595629    All      -0.00037172189098919094    -1.8511828886242713e-05    -0.0015785528195228229    4.460857518837832e-05     
MWEBV         All|All|All                                All                  All      -0.7020225021966713        -3.9101438872778616        0.6805528062240256        -1.0146207331037456       
Redshift      All|All|All                                All                  All      8.240967030950618          -0.0026703946609529794     13.731538609401117        -2.0724484156754457       
