#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8079.962829355796     All      0.10006485186832394        -0.006331142417081992      0.06876018959287578       -0.031588224205596725     
Zeropoint     AB|SDSS|SDSS_i            6796.071775224808     All      0.8916775550578301         0.039459787556062054       1.8068596140364823        -0.19696351803868728      
Zeropoint     AB|SDSS|SDSS_r            5604.199802768692     All      0.7758921796785342         0.22151292379390952        -2.2222930036292388       -0.27975029230678516      
Zeropoint     AB|SDSS|SDSS_g            4288.815543737041     All      -0.6213917857806582        0.6645155843227002         0.24334937303431836       0.4297219003938307        
Zeropoint     AB|SDSS|SDSS_u            3261.5865339566067    All      -0.15279670715257276       0.08205470713829044        0.12520984651196443       0.08208637239837209       
Check         All|All|All               All                   All      0.9934460936714572         1.0012118603938802         0.021886019546402125      0.003506238241133622      
Lambda        AB|SDSS|SDSS_z            8079.962829355796     All      -8.930622561370773e-06     -1.1724814235099486e-06    -3.501475292683307e-05    9.645341976823106e-07     
Lambda        AB|SDSS|SDSS_i            6796.071775224808     All      -0.0006262342162933502     -2.9131076752814058e-05    -0.0013231186802046928    0.0001354514268249164     
Lambda        AB|SDSS|SDSS_r            5604.199802768692     All      -1.743187922125341e-05     -4.076719405506872e-07     0.0004841493712576958     2.715070721270588e-05     
Lambda        AB|SDSS|SDSS_g            4288.815543737041     All      -0.0003192190855644155     0.00023863894015001413     -0.0006620945548354473    0.00015216647286709232    
Lambda        AB|SDSS|SDSS_u            3261.5865339566067    All      -0.00011605966399115167    7.28710581974538e-05       0.00021320041493077022    7.105510717723812e-05     
MWEBV         All|All|All               All                   All      -0.8637416623502405        -3.5428399991090487        0.2519913632782478        -0.8614252508109734       
Redshift      All|All|All               All                   All      4.235938448016034          0.5891067353385182         -9.556312123549482        -1.6143473855386954       
