#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8079.962829355796     All      0.11170177532280494        -0.00881366429457131       0.06013049882379541       -0.03657249553046133      
Zeropoint     AB|SDSS|SDSS_i            6796.071775224808     All      0.8628883930224407         0.03117440075328659        1.5588347155302935        -0.20135297597443125      
Zeropoint     AB|SDSS|SDSS_r            5604.199802768692     All      0.8057893545333448         0.2273944476229417         -2.1127514246921058       -0.2826846423756422       
Zeropoint     AB|SDSS|SDSS_g            4288.815543737041     All      -0.6335381926159197        0.6634876704218584         0.3644228142389939        0.43874651094088607       
Zeropoint     AB|SDSS|SDSS_u            3261.5865339566067    All      -0.1530950915153559        0.08817311768911651        0.15394051707190046       0.0854586514799097        
Check         All|All|All               All                   All      0.9937462387473149         1.001415972192632          0.024577120972877536      0.0035950485402609783     
Lambda        AB|SDSS|SDSS_z            8079.962829355796     All      -3.973063828813196e-06     -9.375569581288939e-07     -2.560004286137885e-05    -1.536478831676222e-07    
Lambda        AB|SDSS|SDSS_i            6796.071775224808     All      -0.00057271029085          -2.2393344871719192e-05    -0.0011175222919081506    0.00012938644690125873    
Lambda        AB|SDSS|SDSS_r            5604.199802768692     All      2.6375311666906192e-05     6.517074155054886e-06      0.0003635238067629144     9.75391661715569e-06      
Lambda        AB|SDSS|SDSS_g            4288.815543737041     All      -0.00026877683008120324    0.0001913979344283202      -0.0006080881207083669    0.00012275788012132806    
Lambda        AB|SDSS|SDSS_u            3261.5865339566067    All      -0.00010850185638441615    6.0156296458661776e-05     8.141441603920447e-05     5.857066053434819e-05     
MWEBV         All|All|All               All                   All      -0.8620401118478127        -3.5391229423584747        0.2480983489522724        -0.8609424614671665       
Redshift      All|All|All               All                   All      4.362183849589806          0.6261077638150425         -5.232068617064317        -1.4504460867467674       
