#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6069.8040002163625    All      1.1183497485118654         -0.058089072421996235     -0.6900416747147663       -0.41399821836149336       
Zeropoint     AB|PS|PS_g                4779.628716294246     All      -1.0809717618734012        1.250561108754944         0.17390106045802925       0.7672173667462852         
Zeropoint     AB|PS|PS_z                8449.066359425246     All      0.4289274047035446         -0.095197471743802        0.2381933256386048        -0.16009524131428593       
Zeropoint     AB|PS|PS_i                7351.8472223888475    All      0.5332254227380365         -0.09820363269632537      0.2806690190580614        -0.19315224749948126       
Check         All|All|All               All                   All      0.9995308140800452         0.9990709318928204        0.0027217304399291264     -2.834042897539857e-05     
Lambda        AB|PS|PS_r                6069.8040002163625    All      -7.852255651976867e-05     -4.575567857100171e-05    -0.0005478039939319298    -1.3772726130263007e-05    
Lambda        AB|PS|PS_g                4779.628716294246     All      -0.00036093854605467684    0.00016826511566983335    -0.0006870347183352058    0.00014171983886403485     
Lambda        AB|PS|PS_z                8449.066359425246     All      0.0004536452858203725      -9.796097398679869e-05    0.0002762194739089765     -0.00016734989963571384    
Lambda        AB|PS|PS_i                7351.8472223888475    All      -5.29082378710134e-05      -3.171727896125592e-05    -0.0003347926883447966    -8.037667554879367e-06     
MWEBV         All|All|All               All                   All      -0.6699886279447758        -4.048154747391042        0.12296275675251189       -1.0948925803814893        
Redshift      All|All|All               All                   All      4.1162241459604125         1.155571699638358         1.023511682708732         -0.9187072787592697        
