#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6069.8040002163625    All      1.1083995972221252         -0.08170886704057523      -0.841164935236205         -0.42519480794464515       
Zeropoint     AB|PS|PS_g                4779.628716294246     All      -1.1212020370076097        1.2606095542857965        0.11985473541047398        0.7811829609265932         
Zeropoint     AB|PS|PS_z                8449.066359425246     All      0.43413089650236186        -0.09314897950796208      0.25711508659583826        -0.16027853718133359       
Zeropoint     AB|PS|PS_i                7351.8472223888475    All      0.5775803566643481         -0.08619178124655846      0.46787332800793946        -0.19533338500775863       
Check         All|All|All               All                   All      0.9989088133812256         0.9995599264907007        0.003678214778046751       0.00037623079285586947     
Lambda        AB|PS|PS_r                6069.8040002163625    All      -0.00014446782645898104    -8.849233117603343e-05    -0.0009053622896306711     -2.2169100454871127e-05    
Lambda        AB|PS|PS_g                4779.628716294246     All      -0.0003843452029078295     0.00016312806450614016    -0.0006777884540299411     0.000148083468798654       
Lambda        AB|PS|PS_z                8449.066359425246     All      0.0004085314260812338      -9.226464111571143e-05    0.0002097756699517508      -0.0001537644301021353     
Lambda        AB|PS|PS_i                7351.8472223888475    All      -9.934104491185848e-05     -3.109136102919888e-05    -0.00042277939819381627    3.3644646026406397e-06     
MWEBV         All|All|All               All                   All      -0.6746655798761534        -4.0419925127859635       0.15618003365537314        -1.0898795662211804        
Redshift      All|All|All               All                   All      4.493343178576403          1.1725778340304416        1.2816699677061227         -1.0244874784919291        
