#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4467.335752123098    All      -2.502432852323781         0.9455461495223361        -0.5998631922061515        1.0963510568449102         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5349.638980262917    All      3.5001279395714233         0.05855406466004354       0.6190031350225722         -1.0934105685385302        
Check         All|All|All                            All                  All      0.9976950872476429         1.0041002141823796        0.01913994281642073        0.0029404883063799403      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4467.335752123098    All      -0.00016285942002465905    -0.0002775528718521974    -0.0019091069190833338     -0.00012255410415047398    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5349.638980262917    All      0.0005110831553723156      -6.841303417822081e-05    -0.00044999013741554275    -0.00020884196689787158    
MWEBV         All|All|All                            All                  All      -0.12982125230758612       -2.424884425591145        0.006416309956946975       -0.7472912504297907        
Redshift      All|All|All                            All                  All      -0.8504037966398049        0.8880650734118589        0.35222474078746013        0.581994677374445          
