#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -1.1521583183557227        0.8440799919490871        0.27495286190168944        0.662510375369818          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.3770126881816969         -0.08640779128743503      -0.761039848909939         -0.5106459083940695        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.2810243954183342        0.06611402011902356       -0.7429032654790335        0.07992204174812056        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.11191465871883113        0.22598585383359904       -0.45033073455631456       0.017060548690733812       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.9346466835566325         -0.05243371411154385      1.5457706082284473         -0.25254391672341336       
Check         All|All|All                      All                  All      0.9903913166831034         0.9973383605027308        -0.13355037881515042       -0.003696859308810474      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.000607890810933655      0.0002894034707947654     -0.0010742026443450981     0.00024434153728115373     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      0.00034032322931340953     -7.021372506862587e-05    -0.00029200548929134265    -0.00014675625616122128    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.00025283069105754507    4.3182941946243845e-05    -0.0006397936784184704     6.787032542685944e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      6.165470245336524e-05      0.0001371850537847219     -0.0002798917711356635     1.2112436053996988e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.0003358139467930985     2.3773935148111966e-05    -0.0005910495982329135     9.075377426166166e-05      
MWEBV         All|All|All                      All                  All      -0.7638767690035766        -3.8060247313310924       0.050912341264086614       -0.9886556910665589        
Redshift      All|All|All                      All                  All      2.679416200700242          -1.1320921056134026       1.9839785903950746         -1.1529977978597783        
