#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_i
@MAGSYS  Linear_AB11_off
56927.69926  18.236  0.106
56927.6551  18.143  0.079
56929.67116  18.834  0.105
56929.66958  18.87  0.092
56929.63058  18.891  0.099
56933.7104  18.429  0.195
56933.70882  18.361  0.19
56939.64317  19.066  0.177
56939.64159  18.981  0.182
56942.51221  19.472  0.29
56942.48229  19.484  0.212
56942.48071  18.961  0.111
56945.61925  19.346  0.154
56945.61766  19.197  0.125
56948.49019  19.165  0.104
56948.48792  19.296  0.091
56950.95888  19.087  0.162
56950.96115  18.934  0.145
56953.80211  19.405  0.132
56953.80438  19.114  0.106
56959.89978  19.5  0.22
56965.61367  19.754  0.232
56965.61117  19.887  0.249
