#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.9110760398070081        0.7403814451288682         0.9610196239230824        0.5808199261932699         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.408882799190914          -0.07783769077036595       -0.981586555886742        -0.5280774749569264        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.3470507988961491        0.11754877743674896        -0.5208646266430842       0.1280915708413015         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.2664985936849769         0.241687832984816          -0.4030120178555033       -0.026066256399467375      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.5830703162220269         -0.02330995003179126       0.9629606087049671        -0.15454549278867677       
Check         All|All|All                      All                  All      1.0003248703947607         0.9984704147482759         0.018517032242719944      0.00022227288950091295     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00025378133480516706    -3.941319391434488e-05     -0.0015966022582013207    -1.4222698640908124e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.00029033665818987856    -1.0794854481879654e-05    -0.0005464337381833044    6.667113406413231e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.00028748238084438325    7.276267513334953e-05      -0.0006429415700001735    8.865213709697362e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.00012055316511572172     2.339284332413138e-05      -0.0004265588778703264    -5.0683676892451164e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.00035994244559338476    7.553041146496808e-06      -0.000689090706208023     8.895441693465227e-05      
MWEBV         All|All|All                      All                  All      -0.768930143320536         -3.798683712171602         0.06400400285248606       -0.9840342086189824        
Redshift      All|All|All                      All                  All      5.329545744216098          0.5527032640145535         6.184130682483259         -1.2800053995769831        
