#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP      5950.3910386228645    All      1.6101938526401365        -0.2442213172397345       -0.6989745173248352       -0.6352360517111966       
Zeropoint     VEGAHST|ACSWF|F775W       5066.028825897314     All      0.6791045363088005        0.8025816889709603        1.4824071902491465        0.106373595350584         
Zeropoint     VEGAHST|ACSWF|F606W       3955.25540552538      All      -1.2743651057654752       0.44724687202624125       -0.7075913503391318       0.5292091084023633        
Check         All|All|All               All                   All      1.0149332831834617        1.005607243757467         0.0758413225851795        0.00034665204175077236    
Lambda        VEGAHST|ACSWF|F850LP      5950.3910386228645    All      -7.128137116022549e-05    4.1774028885181034e-05    0.00016058963001261216    4.39922408329428e-05      
Lambda        VEGAHST|ACSWF|F775W       5066.028825897314     All      -0.0003233559211189449    0.0002267504836625951     -0.0033850117733220902    2.8130225353880644e-05    
Lambda        VEGAHST|ACSWF|F606W       3955.25540552538      All      -0.0014362036912394507    0.0005087613335826299     -0.0008397999045528713    0.0005960626833545073     
MWEBV         All|All|All               All                   All      -0.26435429059425797      -2.2869349796039273       0.0009039355372220115     -0.6587807328472541       
Redshift      All|All|All               All                   All      3.9294222467696205        0.1564390079025202        2.175353559872528         -1.1319087300210307       
