#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_r 6093.582637031622 All 1.587908568950353 0.2512519644094917 5.609448729974407 -0.18506909724246498
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4319.867666128104 All -0.2793738459888968 0.9692621224663931 3.496847551494036 0.562770059612369
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5404.381722701566 All -1.2294094950917258 0.06640665711734695 -14.873345831777275 -0.2416391618059981
Zeropoint AB|CNIa02|SDSS_i 7389.5339971767635 All 0.8335568979344076 0.28182360558843467 2.120769904999824 -0.0850774642869697
Check All|All|All All All 0.912682125804138 1.5687443495816664 -3.646279645309009 0.05098433627693623
