#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6093.582637031622     All      1.4118685953376393         -0.2508480578800487       7.2782445233553705        -0.21680689039674342       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.867666128104     All      -0.3597768236604604        0.9134017793197557        6.679845713778443         0.7128069921067959         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.381722701566     All      -1.100792862291955         0.19228075023534075       -17.097208642311344       -0.34177328060891154       
Zeropoint     AB|CNIa02|SDSS_i                      7389.5339971767635    All      1.0532692766777194         0.1622795570259683        3.0485354062626424        -0.15418253061686288       
Check         All|All|All                           All                   All      1.0045681860629427         1.017114028701016         -0.09058299891488808      4.429048427806448e-05      
Lambda        AB|CNIa02|SDSS_r                      6093.582637031622     All      -0.00022551690233361163    2.6382462181061156e-05    -0.001974264135395291     -6.0504306301244775e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.867666128104     All      -3.834021890691846e-07     6.583230587575557e-06     2.1977386667955148e-05    3.2500113192685987e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.381722701566     All      -4.3380726370017094e-05    -4.152098754036365e-06    -0.0009709036918310756    -3.054891796901519e-05     
Lambda        AB|CNIa02|SDSS_i                      7389.5339971767635    All      -0.00020158059139605808    -6.551789484061972e-05    9.364000125210274e-05     4.849881978077408e-05      
MWEBV         All|All|All                           All                   All      -0.7864400729962462        -3.9983767336797094       0.5524253319615702        -1.021581234594374         
Redshift      All|All|All                           All                   All      5.200753076723474          0.2012298111411681        16.009577072852           -0.9140753115966065        
