#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6433.296590500956    All      1.2690598897531224         -0.2625932194258773       0.2041491682816878         -0.48979956779296696      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4310.587680705676    All      -1.0591255332790794        0.536616048456029         -0.07093650155435136       0.5166199612450041        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7717.948858137104    All      0.41874955477522147        -0.2082254131604344       0.08496491176670708        -0.20043478013798602      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5292.435846442518    All      0.3671632052674487         0.9328536863407066        -0.2303810271927201        0.17398315320777047       
Check         All|All|All                                      All                  All      0.9958471165167129         0.9986511022104239        -0.012203448698676594      0.00036876652182157854    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6433.296590500956    All      -0.00034742105367393877    9.415010139904927e-05     -0.0008116728238936931     0.0001076130222148378     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4310.587680705676    All      -0.0006322147314592455     0.00019669456658550708    -0.00043783952237978725    0.00025046426171945334    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7717.948858137104    All      -6.087641258483734e-05     3.703844003965155e-05     -3.598843879820705e-05     3.0288090068121996e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5292.435846442518    All      8.649992854838388e-06      0.0005126643067382996     -0.0014523246400719517     9.936346520964295e-05     
MWEBV         All|All|All                                      All                  All      -0.8134813306194357        -4.022078592800149        -0.02022910361041823       -1.0460484199919677       
Redshift      All|All|All                                      All                  All      5.8548653851761365         -1.6500493945907913       4.792671893468669          -2.2307227134728733       
