#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          6134.355200710618    All      1.0383377705665138        0.12870111290936848        0.2711007917511665        -0.28420060234111905      
Zeropoint     AB|DECam|DECam_g          3242.014285975645    All      -0.4041856066343597       0.11283075709282997        -0.10793721724813299      0.1635924967310083        
Zeropoint     AB|DECam|DECam_i          5234.748377365965    All      0.5612163524217672        0.19385919647945116        -0.24007155540748948      -0.13037360229092576      
Zeropoint     AB|DECam|DECam_r          4308.877832546496    All      -0.20424165309208542      0.5627159528904357         0.07861207114076563       0.25333142010710297       
Check         All|All|All               All                  All      0.9911268632618356        0.9981070193720853         0.0017040902363096855     0.002349712206066501      
Lambda        AB|DECam|DECam_z          6134.355200710618    All      -0.000287937079482815     -5.212448186710571e-05     -0.0005871375559961917    5.0610668548609456e-05    
Lambda        AB|DECam|DECam_g          3242.014285975645    All      -0.0010333385246424885    0.00026581070561418156     -0.0006513104640365104    0.0003941106503855596     
Lambda        AB|DECam|DECam_i          5234.748377365965    All      0.0001631698662439385     3.854394533490756e-05      -0.0006243038481799643    -6.845457593149383e-05    
Lambda        AB|DECam|DECam_r          4308.877832546496    All      -0.0003471371282277154    -2.8444095872905366e-05    -0.0017115499506987907    2.7430191892207077e-05    
MWEBV         All|All|All               All                  All      -0.44871792366882857      -2.30836700060717          0.2006857243106508        -0.5967932028364111       
Redshift      All|All|All               All                  All      3.930359386491928         0.21849298932004046        -0.9965408506963536       -1.25354804355612         
