#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          6134.355200710618    All      1.0483458205518694        0.13613160433081362       0.3192356171793419         -0.28289216178094007      
Zeropoint     AB|DECam|DECam_g          3242.014285975645    All      -0.45995400395622277      0.14147664403001414       0.028229141767590546       0.19716548547504784       
Zeropoint     AB|DECam|DECam_i          5234.748377365965    All      0.5951167851141285        0.19940039528947295       -0.20404634238748545       -0.13800349795822184      
Zeropoint     AB|DECam|DECam_r          4308.877832546496    All      -0.1946161422191276       0.5221270492985042        -0.14170766574488708       0.22714307534546654       
Check         All|All|All               All                  All      0.9888924594906474        0.9991356929488049        0.0017107508145599304      0.0034129010813524763     
Lambda        AB|DECam|DECam_z          6134.355200710618    All      -0.0002308607727753002    -4.488265114198911e-05    -0.0005194012900756871     3.740069866219608e-05     
Lambda        AB|DECam|DECam_g          3242.014285975645    All      -0.0010909408669218246    0.00031541972564344984    -0.00018075288748643447    0.00045003174168717683    
Lambda        AB|DECam|DECam_i          5234.748377365965    All      0.00013664070151890681    4.6392592113025195e-05    -0.0005987247884411979     -5.611511577274454e-05    
Lambda        AB|DECam|DECam_r          4308.877832546496    All      -0.0002523875219112172    -5.678132776845553e-06    -0.0014619542833463645     1.5121059386293058e-05    
MWEBV         All|All|All               All                  All      -0.4693182158680058       -2.3206182125473873       0.033664060206332634       -0.6015270424857049       
Redshift      All|All|All               All                  All      3.7434424515703713        0.02175661560031017       -2.8212237916972915        -1.338173777013873        
