#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_i 6695.010803595367 All 1.2042807731863046 0.23802561756968466 3.3559448867493717 -0.16498068603646773
Zeropoint AB|SDSS|SDSS_g 4225.038720842143 All -0.37393465837623374 0.7836881626176844 -1.7969828369186849 0.2968847466892698
Zeropoint AB|SDSS|SDSS_r 5520.862560902292 All -0.17937569592223168 0.6649361862357015 -12.77895827891682 -0.2952460593008701
Zeropoint AB|SDSS|SDSS_u 3213.085117980279 All 0.36687473260056697 0.22811699416337738 2.8979302770916138 0.08412335815125783
Zeropoint AB|SDSS|SDSS_z 7959.80975839482 All 0.8745944634698513 0.3326219649466964 4.599289427559109 0.028706890245095467
Check All|All|All All All 1.8924396149582572 2.2473889255331443 -3.7227765244354103 -0.050511750251714754
