#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6695.010803595367    All      1.0397144114086152         -0.21049985435386276      3.4454835507787536         -0.2534798108487911       
Zeropoint     AB|SDSS|SDSS_g            4225.038720842143    All      -0.5753627241519098        0.9463068993602164        -4.155849406114231         0.3102013859525982        
Zeropoint     AB|SDSS|SDSS_r            5520.862560902292    All      0.502404274579367          0.5277997761716335        -3.0941519421328896        -0.12980563989574573      
Zeropoint     AB|SDSS|SDSS_u            3213.085117980279    All      -0.10601104217668372       -0.09969331703043594      2.4281324523602232         0.11041429026697018       
Zeropoint     AB|SDSS|SDSS_z            7959.80975839482     All      0.1794150082114681         -0.11990244339727951      1.4251840529931776         -0.03389812258914731      
Check         All|All|All               All                  All      1.0401599278708566         1.0440110607502717        0.04879870788503382        0.0034321028858842403     
Lambda        AB|SDSS|SDSS_i            6695.010803595367    All      -0.00025470446554462674    4.9540120913552726e-05    -0.0008388155476753662     6.166998580672779e-05     
Lambda        AB|SDSS|SDSS_g            4225.038720842143    All      -0.00017608568707117784    0.0002611899819714135     -0.0012333568315509107     8.739602056029857e-05     
Lambda        AB|SDSS|SDSS_r            5520.862560902292    All      3.0794134865063816e-05     5.2512416420951535e-05    0.00022527192111111943     1.7127210015671365e-05    
Lambda        AB|SDSS|SDSS_u            3213.085117980279    All      -8.589909173585677e-05     -9.907056731710338e-05    0.0019228114372243654      8.151586036432947e-05     
Lambda        AB|SDSS|SDSS_z            7959.80975839482     All      -4.261295372371328e-05     3.722848973142402e-05     -0.00038756365777639423    8.711798807743092e-06     
MWEBV         All|All|All               All                  All      -0.767755132169401         -3.726554733902354        3.6381993921484237         -0.8014222426738173       
Redshift      All|All|All               All                  All      0.9373323103900764         -0.6560253558257401       -15.629641788147039        -1.2164881404534076       
