#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5487.042328684732    All      0.8121581714500827         0.13625441109732517        0.05088388513268744        -0.21789337722787605       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4714.308163222326    All      -0.6516713505085808        0.6554287354172184         0.19787958523681676        0.4345959573626199         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4378.47915659763     All      -0.7033659229439515        0.3899461838814844         -0.36698600258251646       0.33975082230346293        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6214.493385107676    All      1.1501808098888688         -0.11456879404780906       0.07980479965206032        -0.4084092333499498        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7541.141384211069    All      0.3928207422261789         -0.0700608801960323        0.03945265341187114        -0.14901518205367587       
Check         All|All|All                      All                  All      1.0001224501125983         0.9969996561521866         0.001034920850919191       -0.0009710129654187938     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5487.042328684732    All      3.209080218763018e-05      -5.480872540282232e-05     -0.0005766344794763274     -5.4038583478406954e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4714.308163222326    All      -0.00011511943444027822    -0.0001275608910225917     -0.0013349888967136175     -6.362701479872283e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4378.47915659763     All      -0.00024146105247625375    8.875910229229906e-05      -0.0003800426976113612     9.060400820709978e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6214.493385107676    All      -0.00025814110515902735    5.259336152433538e-06      -0.00018516170431859247    7.753527290547679e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7541.141384211069    All      -8.417970109720138e-05     -3.8724860283191344e-08    -0.00012369849876889562    2.188738824285977e-05      
MWEBV         All|All|All                      All                  All      -0.902585868989084         -4.107307423454287         0.005104812871125403       -1.043655438143928         
Redshift      All|All|All                      All                  All      4.64561236246192           0.9003315105229559         1.3250500416578186         -1.1608302919321964        
