#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5487.042328684732    All      0.6138844730381939         0.2076440102070587         0.6200289009911625         -0.10465684149685538      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4714.308163222326    All      -0.8921143977787496        0.8213382356830751         0.24291319912544268        0.5689679940527721        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4378.47915659763     All      -0.5873775141636621        0.2274866130507397         -1.013181597339538         0.2202144131527313        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6214.493385107676    All      1.2527381845459338         -0.13986225644939954       0.3219447404864073         -0.43924886369664345      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7541.141384211069    All      0.43722529657115883        -0.11866944270930435       -0.11699646058028063       -0.18629421966773993      
Check         All|All|All                      All                  All      0.8243560422128748         0.9979371597821697         0.054708782683193846       0.05898248234426459       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5487.042328684732    All      0.00013318368377452768     -1.872388113782855e-05     -0.0004434599395716773     -6.927087186764692e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4714.308163222326    All      -0.0004017123574208101     2.5321564258163553e-05     -0.0018317167526335771     5.735789139028454e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4378.47915659763     All      -0.0003219741845740642     7.36763595092136e-05       -0.0008504859590862722     9.092311651089853e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6214.493385107676    All      -0.00016810001564068614    5.420416163694645e-06      -0.00012972199699501496    5.073241635702402e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7541.141384211069    All      -9.546110623280117e-05     -3.4149460440462415e-06    -0.00022052391222256003    2.014149322940202e-05     
MWEBV         All|All|All                      All                  All      -0.9088444350857472        -4.119426077767319         -0.06295634974095021       -1.0486015187609388       
Redshift      All|All|All                      All                  All      4.76536589692855           -0.2565648109862151        2.5032150674442977         -1.5241010565716278       
