#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4647.110167068088     All      -0.666672764592156         0.580828051988469          -0.04958428708925471       0.40413933851771894        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6125.9116700108925    All      1.1872358232890943         -0.09679214833626659       -0.03773177966026666       -0.4199339496543379        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7433.649558859456     All      0.4597507392802824         -0.05934855657674376       0.18372928279112155        -0.16088872446731026       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5408.829739151962     All      0.6577868832989884         0.16682769870692837        -0.03956578650682546       -0.16168719783175736       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4316.068084741575     All      -0.6391513258758725        0.40588857300285497        -0.05499843159851596       0.3379495484526811         
Check         All|All|All                      All                   All      0.9989493554003362         0.997403618785242          0.001848997936258756       -0.00042098498300546794    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4647.110167068088     All      -0.00016758988198812104    -4.31931736903409e-05      -0.0008017840495399283     4.740160752706829e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6125.9116700108925    All      -0.0001594143123578427     -1.4350949120469406e-05    -0.000246376798361614      3.625724490613426e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7433.649558859456     All      -3.3018967166281377e-05    -9.953084362365566e-06     -0.00013039812316713786    1.6942475342077925e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5408.829739151962     All      6.859021090565342e-05      -1.8248313355197613e-05    -0.0008550363323116697     -6.644250872558626e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4316.068084741575     All      -0.00029866190780247634    8.414313897882997e-05      -0.0005138586361761624     0.00010176104678344369     
MWEBV         All|All|All                      All                   All      -0.8614377568547722        -4.033378963533973         0.03291813255783329        -1.031736619712957         
Redshift      All|All|All                      All                   All      5.591891713073841          0.2805264041952249         3.965453527853036          -1.5531264415513846        
