#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4647.110167068088     All      -0.7238744577917842        0.5488286177991242         -0.33057206904927305       0.39980934922839023        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6125.9116700108925    All      1.2138163534097124         -0.08548437881223947       0.12139147490544122        -0.4178078502149532        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7433.649558859456     All      0.4530926680594229         -0.0506204571283142        0.24864013033678578        -0.1529802694891197        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5408.829739151962     All      0.7588814796006171         0.1697034172558176         0.09849100803651645        -0.18751947695237678       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4316.068084741575     All      -0.7004363020367719        0.414802867855002          -0.13232053496575746       0.3573652301633437         
Check         All|All|All                      All                   All      1.0014797412411962         0.9972300669693901         0.005630009263712932       -0.0011330172647157633     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4647.110167068088     All      -0.00011627171481405353    -0.00011124729519731814    -0.0009280879660671211     -3.9779684604058705e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6125.9116700108925    All      -0.00023860484590833297    -2.135018643216375e-05     -0.00040940360640366705    5.2497187426341e-05        
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7433.649558859456     All      -6.293311223216711e-05     -5.694053738051245e-06     -0.00015396701231114695    1.1773803846087537e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5408.829739151962     All      1.980345727089377e-05      -2.3363208445583622e-05    -0.0010442000226812192     -6.065865434000145e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4316.068084741575     All      -0.0003039413675596751     5.788335033382685e-05      -0.0005977354499259684     9.11840264669851e-05       
MWEBV         All|All|All                      All                   All      -0.8670531222334694        -4.030439115403706         0.043001933930120195       -1.028499911472902         
Redshift      All|All|All                      All                   All      5.588637496479496          0.619428721140558          4.325695255654116          -1.4255988681805616        
