#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4296.745506140421    All      -1.022705336686873         0.4324525322075168        0.97662163123729           0.5175749291120191         
Zeropoint     AB|CNIa02|SDSS_i                      7349.9813996153      All      0.6250906118497719         -0.25308375401928984      1.2776762988812251         -0.22903345697795896       
Zeropoint     AB|CNIa02|SDSS_r                      6060.966639616613    All      1.1554113311430396         -0.5135330713851971       0.24046206203249265        -0.5328993811171939        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5375.454684077992    All      0.2535353282265098         1.3145014173905345        -2.3322296087691594        0.24151486409206835        
Check         All|All|All                           All                  All      1.0113319345324485         0.9803371241935643        0.16253038338184833        -0.0028430448910654604     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4296.745506140421    All      -0.0005871593761924784     0.0002465711833079656     0.0005401682496397926      0.00029567870022836993     
Lambda        AB|CNIa02|SDSS_i                      7349.9813996153      All      -0.00016286149361933162    4.4832667260442565e-05    -0.00047649277175406237    4.638913718223702e-05      
Lambda        AB|CNIa02|SDSS_r                      6060.966639616613    All      -1.5523815101137157e-05    1.0992640105641024e-05    1.71064130494248e-05       9.400662473794587e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5375.454684077992    All      -0.00012832942966368646    0.00014930003554584418    -0.004357805031025099      -0.00010403577330322738    
MWEBV         All|All|All                           All                  All      -0.855386398123513         -4.02537981865656         0.17435118670045546        -1.024790654057031         
Redshift      All|All|All                           All                  All      7.149827620413435          -3.240728035731788        16.158747141131634         -2.663455145866511         
