#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4296.745506140421    All      -1.124721290315574         0.48431200943239716       1.0825756500959345         0.5724254605247929        
Zeropoint     AB|CNIa02|SDSS_i                      7349.9813996153      All      0.5117488150945688         -0.18835201462010787      1.2848311514613824         -0.17070975959754633      
Zeropoint     AB|CNIa02|SDSS_r                      6060.966639616613    All      1.1303137990345782         -0.44756867587718574      0.6710901237078019         -0.4840205628546564       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5375.454684077992    All      0.49064835092386505        1.1451030863749878        -2.9632516168367085        0.08094112832068197       
Check         All|All|All                           All                  All      1.007989674737438          0.9934944053100914        0.07524530842841015        -0.0013637336067277989    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4296.745506140421    All      -0.0003765648088900275     0.00016237190115563307    0.00036255715375307755     0.00019172867756020594    
Lambda        AB|CNIa02|SDSS_i                      7349.9813996153      All      -0.00018456010212937745    6.51767469914769e-05      -0.0004817304905734851     5.985008857077749e-05     
Lambda        AB|CNIa02|SDSS_r                      6060.966639616613    All      -0.0002034190619385855     7.966874294432583e-05     -0.00012439169644519227    8.665998126056027e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5375.454684077992    All      -0.0002363497595991498     -0.0001734415853651092    -0.005522239240730263      -0.0002259409126208487    
MWEBV         All|All|All                           All                  All      -0.8740177402589646        -4.013954783669327        0.18948720039414735        -1.0143248524287831       
Redshift      All|All|All                           All                  All      7.619307177722935          -1.633072408195524        21.20306241456132          -2.067609131962071        
